ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,dd752333c4eb35bc7019521aad1423d59e0ab2c9,Yue Du,2014-07-30 15:35:15+00:00,first version,False,173,173,0,1.0,1.0,0.2,41,4,36,1,,88.62020306143599,5.0,6.0,13.931568569324174,0.5,6.965784284662087,0.3869880158145604,0.004643856189774725
1,8186eac26a70993fec260d7cd837f33095fc3429,Yue Du,2014-08-03 14:38:45+00:00,Add tests,False,19,19,0,1.0,1.0,1.0,60,17,51,1,1.3333333333333333,79.39374340356957,4.0,4.5,9.343228035743822,0.5,4.671614017871911,0.259534112103995,0.0031144093452479408
2,d6445ab465f204ce784a4906c544b1b47a70193c,Yue Du,2014-08-03 14:41:31+00:00,Add Python 3 classifiers,False,2,2,0,,,,62,17,53,1,1.3333333333333333,79.27610192170161,4.0,4.5,9.343228035743822,0.5,4.671614017871911,0.259534112103995,0.0031144093452479408
3,5be660f14ee5a29b51d7d9f12fc4fff9e5a1c4b8,Yue Du,2014-08-03 14:49:40+00:00,bump to 0.0.2,False,2,1,1,,,,62,17,53,1,1.3333333333333333,79.27610192170161,4.0,4.5,9.343228035743822,0.5,4.671614017871911,0.259534112103995,0.0031144093452479408
4,9890adf4e7d9bea81c0931720ae2150fb902db12,Yue Du,2014-08-03 15:01:03+00:00,flake8 test.py,False,16,9,7,,,,64,17,53,1,1.3333333333333333,79.27610192170161,4.0,4.5,9.343228035743822,0.5,4.671614017871911,0.259534112103995,0.0031144093452479408
5,16ba8fded42d89d31b346c0317a0a9aa95104e2f,Yue Du,2014-08-04 05:29:51+00:00,"Fix: buiding under Python3.4

Bug: http://bugs.python.org/issue21121",False,1,1,0,,,,65,17,54,2,1.3333333333333333,81.03110962720426,4.0,4.5,9.343228035743822,0.5,4.671614017871911,0.259534112103995,0.0031144093452479408
6,8eecb23caf4905d7e6c6dc7cf401aa4c0e4d1a3a,Yue Du,2014-08-05 02:06:25+00:00,"XXH32 and XXH64: partial update support

Issue: #2",False,300,295,5,0.639344262295082,0.7622950819672131,0.7213114754098361,102,50,87,2,1.2,72.2701555500805,6.5,7.5,20.465784284662085,0.75,16.982892142331043,0.9434940079072802,0.0068219280948873615
7,b970e19c762e6c097b1a27b103161025ab4cc2cf,Yue Du,2014-08-05 03:30:04+00:00,Update README,False,23,22,1,,,,102,50,87,2,1.2,72.2701555500805,6.5,7.5,20.465784284662085,0.75,16.982892142331043,0.9434940079072802,0.0068219280948873615
8,463b2bda7893f28d3ce5cc817c9dab656f2f499b,Yue Du,2014-08-05 03:32:23+00:00,Add Python 3.4 classifier,False,1,1,0,,,,103,50,88,2,1.2,72.1981734410971,6.5,7.5,20.465784284662085,0.75,16.982892142331043,0.9434940079072802,0.0068219280948873615
9,0128bb206820ef8cc540cfb3a781133234c80a3d,Yue Du,2014-08-05 15:54:16+00:00,bump to 0.1.0,False,2,1,1,,,,103,50,88,2,1.2,72.1981734410971,6.5,7.5,20.465784284662085,0.75,16.982892142331043,0.9434940079072802,0.0068219280948873615
10,de274ffe44eb23ab1faeab9aaae8ed687ef5ffe4,Yue Du,2014-08-05 16:16:43+00:00,Add new classifier 'Programming Language :: Python :: 3',False,1,1,0,,,,104,50,89,2,1.2,72.12853523332143,6.5,7.5,20.465784284662085,0.75,16.982892142331043,0.9434940079072802,0.0068219280948873615
