ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,12068f9e2c170cadd4f84c8f05a0cdbf7efb6935,Sébastien Eustace,2016-09-29 16:38:55+00:00,Initial commit,False,1587,1587,0,1.0,1.0,0.9440559440559441,340,185,215,17,1.7727272727272727,90.45534875389227,3.8333333333333335,4.166666666666667,12.323245301650426,0.7613636363636364,33.93633913792096,1.8853521743289423,0.004107748433883475
1,7df3dcf193728899c9c3f8512e8bf5485aa96084,Sébastien Eustace,2016-09-29 16:49:20+00:00,Updates description in setup.py,False,2,1,1,,,,340,185,215,17,1.7727272727272727,90.45534875389227,3.8333333333333335,4.166666666666667,12.323245301650426,0.7613636363636364,33.93633913792096,1.8853521743289423,0.004107748433883475
2,e2e9bce882afd08c49119a0245cf0c55650bb9fc,Sébastien Eustace,2016-10-20 17:16:00+00:00,Removes cleo from dependencies,False,2,1,1,,,,340,185,215,17,1.7727272727272727,90.45534875389227,3.8333333333333335,4.166666666666667,12.323245301650426,0.7613636363636364,33.93633913792096,1.8853521743289423,0.004107748433883475
3,42e815cd988f99817b1ab3f56c039cda7fe2b5d3,Sébastien Eustace,2016-10-20 17:26:23+00:00,Fixes make command,False,12,8,4,1.0,1.0,1.0,344,187,219,17,1.7727272727272727,90.41352987679313,3.8333333333333335,4.166666666666667,12.323245301650426,0.7613636363636364,33.93633913792096,1.8853521743289423,0.004107748433883475
4,3b94458981beb9778e7550a04b5dcd000df78c4f,Sébastien Eustace,2016-10-20 17:31:40+00:00,Bumps version to 2016.8,False,8,4,4,,,,344,187,219,17,1.7727272727272727,90.41352987679313,3.8333333333333335,4.166666666666667,12.323245301650426,0.7613636363636364,33.93633913792096,1.8853521743289423,0.004107748433883475
5,36c553cae2c4c9192a1cb135a54155444f6f00f5,Sébastien Eustace,2016-11-03 02:23:09+00:00,Bumps version to 2016.9 (2016i),False,14,8,6,,,,344,187,219,17,1.7727272727272727,90.41352987679313,3.8333333333333335,4.166666666666667,12.323245301650426,0.7613636363636364,33.93633913792096,1.8853521743289423,0.004107748433883475
6,dbea70ef31929081a08609432ac752c0ceb5aa8d,Sébastien Eustace,2016-11-03 02:28:00+00:00,Bumps version to 2016.9.1,False,4,2,2,,,,344,187,219,17,1.7727272727272727,90.41352987679313,3.8333333333333335,4.166666666666667,12.323245301650426,0.7613636363636364,33.93633913792096,1.8853521743289423,0.004107748433883475
7,3ba44d094ecb2b36e8ad1a3da697faebb3e71c33,Sébastien Eustace,2016-11-22 15:10:58+00:00,Adds ability to set a custom zoneinfo directory.,False,136,132,4,1.0,1.0,1.0,461,247,285,19,1.7272727272727273,87.12666888268639,5.214285714285714,5.928571428571429,19.896245693447298,0.8082417582417581,46.35752234065371,2.5754179078140953,0.006632081897815766
8,76e2852626327cda7d7ffcc351207cd008282fbb,Sébastien Eustace,2016-11-24 15:03:12+00:00,Bumps version to 2016.10 (2016j),False,32,18,14,,,,461,247,285,19,1.7272727272727273,87.12666888268639,5.214285714285714,5.928571428571429,19.896245693447298,0.8082417582417581,46.35752234065371,2.5754179078140953,0.006632081897815766
9,da5fc580b8ce0bdcf17ce1ea48b51d3a6e07c0c9,Sébastien Eustace,2017-02-28 23:14:43+00:00,Bumps version to 2017.1 (2017a),False,11,6,5,,,,461,247,285,19,1.7272727272727273,87.12666888268639,5.214285714285714,5.928571428571429,19.896245693447298,0.8082417582417581,46.35752234065371,2.5754179078140953,0.006632081897815766
10,11138e3d132c109fdf2a7b8407ab3d7d4a291831,Seth M. Larson,2017-03-13 21:23:34+00:00,Add Python version classifiers. (#1),False,2,2,0,,,,463,247,287,19,1.7272727272727273,87.10780804770089,5.214285714285714,5.928571428571429,19.896245693447298,0.8082417582417581,46.35752234065371,2.5754179078140953,0.006632081897815766
11,e436e0cc9dd21794cdfbc3c0ae5bd173a57af8aa,Sébastien Eustace,2017-03-23 15:43:52+00:00,Bumps version to 2017.2 (2017b),False,12,6,6,,,,463,247,287,19,1.7272727272727273,87.10780804770089,5.214285714285714,5.928571428571429,19.896245693447298,0.8082417582417581,46.35752234065371,2.5754179078140953,0.006632081897815766
12,731863088fda4f3b7bbf07f4555a00373a9259ac,Sébastien Eustace,2017-08-28 12:55:24+00:00,Fixes error when passing an empty string to tz_path(),False,11,11,0,1.0,0.0,1.0,474,252,292,19,1.7352941176470589,86.89083072361483,5.285714285714286,6.071428571428571,20.643566389305935,0.8051020408163264,49.45666090406428,2.747592272448016,0.0068811887964353126
13,032e79be617f1203e22f7ae0c1dffa1d74f78027,Sébastien Eustace,2017-08-28 13:13:19+00:00,Bumps version to 2017.2.1,False,4,2,2,,,,474,252,292,19,1.7352941176470589,86.89083072361483,5.285714285714286,6.071428571428571,20.643566389305935,0.8051020408163264,49.45666090406428,2.747592272448016,0.0068811887964353126
14,52019131501f6f72089ec436fe3f51019dc3f21c,Sébastien Eustace,2017-09-06 13:32:48+00:00,Exposes database timezones,False,706,706,0,1.0,1.0,1.0,1174,305,942,22,1.775,87.41539497039437,5.529411764705882,6.529411764705882,24.60118941144457,0.7823529411764705,80.96380860082225,4.497989366712346,0.008200396470481524
15,b7984e696975b7df53bd63960aa39de2b3c57458,Sébastien Eustace,2017-09-06 13:48:34+00:00,Fixes get_timezones() for Python 2.7,False,18,10,8,1.0,0.0,1.0,1176,307,944,22,1.8,87.24380120322603,5.588235294117647,6.705882352941177,25.232589746825838,0.7901960784313725,82.00384194445623,4.555768996914235,0.008410863248941948
16,78f04f3a33f70c1277796cb7f6e90c2e37843946,Sébastien Eustace,2017-09-06 13:53:32+00:00,Bumps version to 2017.2.2,False,4,2,2,,,,1176,307,944,22,1.8,87.24380120322603,5.588235294117647,6.705882352941177,25.232589746825838,0.7901960784313725,82.00384194445623,4.555768996914235,0.008410863248941948
17,68a5ca68901cec93417c0f3f8ff083384fcc120f,Sébastien Eustace,2017-10-23 17:05:12+00:00,Bumps version to 2017.3,False,5304,4756,548,,,,1176,307,944,22,1.8,87.24380120322603,5.588235294117647,6.705882352941177,25.232589746825838,0.7901960784313725,82.00384194445623,4.555768996914235,0.008410863248941948
18,41b1222952f01148fa6ea1f6303c124485169c8a,Sébastien Eustace,2017-11-03 18:26:57+00:00,Fixes timezones,False,8,3,5,,,,1174,306,942,22,1.8,87.25801541380876,5.588235294117647,6.705882352941177,25.232589746825838,0.7901960784313725,82.00384194445623,4.555768996914235,0.008410863248941948
19,8c726c40897da35762547196134411e5f54e89c6,Sébastien Eustace,2018-01-29 17:11:08+00:00,Update zones building and dumping commands,False,12,6,6,,,,1174,306,942,22,1.8,87.24031078097373,5.823529411764706,6.882352941176471,26.55101404900893,0.8516339869281045,103.73591578133471,5.763106432296372,0.008850338016336314
20,1f5d47629c74329a883fe99526c8696e4255bebd,Sébastien Eustace,2018-01-29 17:11:59+00:00,Bump version to 2018.3 (2018c),False,1126,565,561,,,,1173,306,941,22,1.8,87.24031078097373,5.823529411764706,6.882352941176471,26.55101404900893,0.8516339869281045,103.73591578133471,5.763106432296372,0.008850338016336314
21,aba5af7346bc51fb6539180e709a2696f60877c4,Sébastien Eustace,2018-04-11 14:51:53+00:00,Bump version to 2018.4/2018d,False,551,279,272,,,,1173,306,941,22,1.8,87.24031078097373,5.823529411764706,6.882352941176471,26.55101404900893,0.8516339869281045,103.73591578133471,5.763106432296372,0.008850338016336314
22,ceef0e5f45470d6d2faaf6263b9c1a6304bcef37,Sébastien Eustace,2018-05-11 18:04:37+00:00,Use poetry to manage project,False,117,46,71,0.0,0.0,0.0,1124,292,904,21,1.794871794871795,87.70801841683048,6.0,7.125,27.913271958186773,0.8736111111111111,110.0708202832255,6.115045571290305,0.00930442398606226
