ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,9b97fa7b0dc230f124b819e1322c939c46010bb5,Ross McFarland,2013-03-21 15:29:55+00:00,"initial import, working async requests via futures",False,317,317,0,0.574468085106383,1.0,0.723404255319149,202,90,114,13,1.75,84.0630978654936,4.25,4.25,11.066165626622603,0.75,13.471804688852169,0.7484335938251204,0.003688721875540867
1,1711310c7405c53a36e04bd6819e46aa22d2dfb4,Ross McFarland,2013-03-21 17:04:04+00:00,"futures support came in 3.2, not 3.3",False,6,3,3,,,,202,90,114,13,1.75,84.0630978654936,4.25,4.25,11.066165626622603,0.75,13.471804688852169,0.7484335938251204,0.003688721875540867
2,fa42593a855da7a1964ac0051287bd101626b040,Michael Elovskikh,2013-03-22 06:23:30+00:00,A tiny cleanup,False,4,1,3,0.0,0.0,1.0,200,89,113,13,1.75,83.77580321515632,4.25,4.25,11.066165626622603,0.75,13.471804688852169,0.7484335938251204,0.003688721875540867
3,3c4a36875c5a8300d2f8b306388333fab2292bca,Dmitry Medvinsky,2013-03-22 14:09:27+00:00,"Add `max_workers` shortcut

I believe this is a pretty common use case and we might want to simplify
the API for it. After all, that's a library for Humans.",False,35,31,4,1.0,1.0,1.0,221,101,125,13,1.6666666666666667,81.77731628068452,4.25,4.25,11.066165626622603,0.75,13.471804688852169,0.7484335938251204,0.003688721875540867
4,cc4a4c2c24a8efd84c45962d9bb31580b868e53f,Ross McFarland,2013-03-30 21:49:50+00:00,"README update, setup fix, version bump to 0.9.1",False,12,3,9,,,,219,100,124,13,1.6666666666666667,81.4122128974498,4.25,4.25,11.066165626622603,0.75,13.471804688852169,0.7484335938251204,0.003688721875540867
5,b95febd0f62e28e107b429eb715b2e266e01a3b7,Ross McFarland,2013-04-08 15:17:39+00:00,correct license,False,5,2,3,,,,218,100,123,13,1.6666666666666667,81.43573534259461,4.25,4.25,11.066165626622603,0.75,13.471804688852169,0.7484335938251204,0.003688721875540867
6,2fe0f782ebbd2aa015484cdb712f7a69b3f36324,Ross McFarland,2013-04-08 15:30:15+00:00,"version bump, 0.9.3, manifest and setup fixes",False,5,4,1,,,,220,100,125,13,1.6666666666666667,81.38942135209341,4.25,4.25,11.066165626622603,0.75,13.471804688852169,0.7484335938251204,0.003688721875540867
7,a17fc82a5e163fa6110f41af7026c422c60be07e,Ross McFarland,2013-06-27 03:54:40+00:00,test for redirect following,False,13,13,0,1.0,1.0,1.0,233,111,135,13,1.6,80.47002002508287,4.25,4.25,11.066165626622603,0.75,13.471804688852169,0.7484335938251204,0.003688721875540867
8,74ff2f8735676d0026145576e0c1336021313edf,Ross McFarland,2013-06-27 21:24:27+00:00,"require requests >= 1.2.0, fixes #3

there's a problem with redirect handling in requests before 1.2.0, that
caused it to try and work with the future object rather than the ""real""
response. it was fixed for another reason, but address this. thanks to
@heston for the report.",False,6,3,3,,,,233,111,135,13,1.6,80.47002002508287,4.25,4.25,11.066165626622603,0.75,13.471804688852169,0.7484335938251204,0.003688721875540867
9,79e525634e33d86cb5f3e62dcba88f98fe4f4cbc,Ross McFarland,2013-06-27 21:29:05+00:00,version bump to 0.9.4,False,2,1,1,,,,233,111,135,13,1.6,80.47002002508287,4.25,4.25,11.066165626622603,0.75,13.471804688852169,0.7484335938251204,0.003688721875540867
