ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,7fb775bf2b4d9c97ef3e7fee300f3eeff3c90998,Kenneth Reitz,2018-02-24 20:56:40+00:00,"prototype

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,215,215,0,1.0,1.0,1.0,86,65,60,2,1.4666666666666666,58.80936250513107,8.0,9.0,27.0,1.5,40.5,2.25,0.009
1,b4b2b9740b125758ded182da2d9b0ee0e853c3cd,Kenneth Reitz,2018-02-24 21:05:14+00:00,"better

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,30,22,8,1.0,1.0,1.0,100,77,71,2,1.5333333333333334,55.624923138142876,8.0,11.0,33.0,1.8,59.4,3.3,0.011
2,34866e9c48579de697dbe99efd8bc6bf72707f2e,Kenneth Reitz,2018-02-24 21:08:50+00:00,"looking nice

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,17,15,2,1.0,1.0,1.0,113,86,80,2,1.5294117647058822,53.61840320977969,8.0,11.0,33.0,1.8,59.4,3.3,0.011
3,4cf1d72af02d7a861c9f7748f0f8a0a287c5f65a,Kenneth Reitz,2018-02-24 21:19:24+00:00,"setup

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,179,173,6,1.0,1.0,1.0,215,124,148,22,1.5,69.80976509472023,5.5,7.0,18.877443751081735,1.15,30.888721875540867,1.7160401041967148,0.006292481250360578
4,53c7409d7c7241ac0cf2158f09e14cf5f1245bcc,Kenneth Reitz,2018-02-24 21:19:59+00:00,"setup.py

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,5,3,2,,,,216,123,147,24,1.5,76.97839446459602,4.0,5.5,16.5,0.9,29.7,1.65,0.0055
5,ca40d0d0cea1d7d800a3ef56644092a762e3bf0b,Kenneth Reitz,2018-02-24 21:50:35+00:00,"markdown support

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,26,22,4,1.0,1.0,1.0,234,135,159,25,1.44,76.78162436780738,4.0,5.5,16.5,0.9,29.7,1.65,0.0055
6,c05af45e22d727e2e6d5cfa435ce9f8730d09ed5,Kenneth Reitz,2018-02-24 21:55:07+00:00,"commit

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,7,4,3,,,,235,135,159,25,1.44,76.78162436780738,4.0,5.5,16.5,0.9,29.7,1.65,0.0055
7,2eca52ecf9546c7f892e85a620ba1134f2a626e4,Kenneth Reitz,2018-02-24 23:18:26+00:00,"cleanups

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,89,77,12,1.0,1.0,1.0,300,177,181,29,1.4838709677419355,79.55819630838971,5.5,7.0,24.216021330461086,1.1428571428571428,55.350905898196764,3.075050327677598,0.008072007110153696
8,f371d30b471241d70fc601ada29d1a52c2a2473f,Kenneth Reitz,2018-02-24 23:36:08+00:00,"next version

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,28,25,3,,,,300,177,181,29,1.4838709677419355,79.55819630838971,5.5,7.0,24.216021330461086,1.1428571428571428,55.350905898196764,3.075050327677598,0.008072007110153696
9,4421339acd26977d9c7bb5bbaa09afd79c98232b,Kenneth Reitz,2018-02-24 23:37:03+00:00,"setup.py

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,5,2,3,,,,299,178,182,27,1.4838709677419355,72.38956693851392,7.0,8.5,26.59346508154282,1.3928571428571428,56.53962777373763,3.141090431874313,0.008864488360514275
10,100a9d8a00a17c27d689398fc1b4862d6a3acc57,Kenneth Reitz,2018-02-25 14:33:35+00:00,"enhancements

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,111,54,57,0.0,0.0,0.0,289,168,174,27,1.5517241379310345,73.31875834091682,7.0,8.5,26.59346508154282,1.3928571428571428,56.53962777373763,3.141090431874313,0.008864488360514275
11,d0887939b3de00607322dcb022fdbd25ed639482,Kenneth Reitz,2018-02-25 14:40:49+00:00,"fixes

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,106,67,39,1.0,1.0,1.0,317,192,193,27,1.4857142857142858,71.14468166965736,7.0,8.5,26.59346508154282,1.3928571428571428,56.53962777373763,3.141090431874313,0.008864488360514275
12,fae210c8a27a6a81ce487927c4f243b4a561b1c6,Kenneth Reitz,2018-02-25 14:44:45+00:00,"improvements

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,33,25,8,1.0,1.0,0.0,333,206,207,27,1.6,70.01998230114077,7.0,8.5,26.59346508154282,1.3928571428571428,56.53962777373763,3.141090431874313,0.008864488360514275
13,44d8172decfdf4ca9a7b9858f137eb55cd8f98a3,Kenneth Reitz,2018-02-25 14:48:40+00:00,"fix readme

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,2,0,2,,,,331,205,206,27,1.6,70.07823674746658,7.0,8.5,26.59346508154282,1.3928571428571428,56.53962777373763,3.141090431874313,0.008864488360514275
14,0d6ddcc83690e9d9c96d809c782538dbfb0650ca,Kenneth Reitz,2018-02-25 14:59:13+00:00,Update requests_html.py,False,2,0,2,,,,329,205,206,25,1.6,69.63158375306487,7.0,8.5,26.59346508154282,1.3928571428571428,56.53962777373763,3.141090431874313,0.008864488360514275
15,0ea60d1788252ee83c36a149dc7658790c00e59c,swayson,2018-02-25 15:38:05+00:00,"Update setup.py

URL was still pointing to requests and this corrects that.",False,2,1,1,,,,329,205,206,25,1.6,69.63158375306487,7.0,8.5,26.59346508154282,1.3928571428571428,56.53962777373763,3.141090431874313,0.008864488360514275
16,bc6b383a4819c6d2d6b14e0d087503d0583f9505,Vishal Sodani,2018-02-26 02:49:14+00:00,Fix spelling,False,2,1,1,,,,329,205,206,25,1.6,69.63158375306487,7.0,8.5,26.59346508154282,1.3928571428571428,56.53962777373763,3.141090431874313,0.008864488360514275
17,7b63730e2b18c49e8241e27e3a3e96c198b96a5f,Chyroc,2018-02-26 02:50:43+00:00,fix https://github.com/kennethreitz/requests-html/issues/10 : links contain javascript:;,False,2,1,1,,0.0,,329,205,206,25,1.6,69.10376120964386,8.5,10.5,36.64363804960017,1.35,76.57434933228143,4.254130518460079,0.01221454601653339
18,aab0dad8bba839f800c6a8e7e2859ae49a2c0b39,Kenneth Reitz,2018-02-26 12:26:57+00:00,"#15

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,29,2,27,0.0,0.0,0.0,318,196,199,24,1.6363636363636365,69.4729888051381,8.5,10.5,36.64363804960017,1.35,76.57434933228143,4.254130518460079,0.01221454601653339
19,105c2e890edbb00a364ecb98976fe0aa11ef85c2,Kenneth Reitz,2018-02-26 12:54:17+00:00,"base_class

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,133,57,76,0.0,0.0,0.0,299,177,190,25,1.75,70.64925342136905,10.5,13.0,50.33158126766833,1.5961538461538463,130.29601518942786,7.23866751052377,0.01677719375588944
20,d23ce77a6d4969495b2f10310b9d11570631601a,Kenneth Reitz,2018-02-26 13:19:34+00:00,"tests, better code

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,1290,1273,17,1.0,1.0,0.6666666666666666,370,224,239,23,1.7297297297297298,63.51802785236015,12.666666666666666,16.666666666666668,66.25409024178161,1.4196581196581197,121.74369303828814,6.763538502127119,0.022084696747260536
21,2e4cc9d41683dda7069adb0bdbc417b01caa422d,Kenneth Reitz,2018-02-26 13:22:05+00:00,"no more global session

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,10,5,5,,,,368,223,238,23,1.7297297297297298,63.5597683438318,12.666666666666666,16.666666666666668,66.25409024178161,1.4196581196581197,121.74369303828814,6.763538502127119,0.022084696747260536
22,80115274e19d780d7296201bf9e0ab72a27fea02,Kenneth Reitz,2018-02-26 13:23:13+00:00,"remove 'html2text',

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,4,2,2,,,,368,223,238,23,1.7297297297297298,63.5597683438318,12.666666666666666,16.666666666666668,66.25409024178161,1.4196581196581197,121.74369303828814,6.763538502127119,0.022084696747260536
23,e779744f2e0fd402c26fb6bf552384352639e073,Kenneth Reitz,2018-02-26 13:30:39+00:00,"remove html2text

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,3,1,2,,,,367,222,237,23,1.7297297297297298,63.601835170944184,12.666666666666666,16.666666666666668,66.25409024178161,1.4196581196581197,121.74369303828814,6.763538502127119,0.022084696747260536
24,68437a9aebd99469b56ce8d1a0b107e0e3c87b97,Kenneth Reitz,2018-02-26 13:31:24+00:00,"backwards compatibility

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,3,3,0,,,,370,223,238,24,1.7297297297297298,63.71321047093903,12.666666666666666,16.666666666666668,66.25409024178161,1.4196581196581197,121.74369303828814,6.763538502127119,0.022084696747260536
25,4b26b44c88f4ef2a7207022f5900089c0d194d90,Kenneth Reitz,2018-02-26 13:32:15+00:00,"cleanup

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,10,8,2,,,,376,223,238,24,1.7297297297297298,63.85937235833867,12.666666666666666,16.666666666666668,66.25409024178161,1.4196581196581197,121.74369303828814,6.763538502127119,0.022084696747260536
26,9022c0bea96435a19a2c395db7fff50296e6b794,Kenneth Reitz,2018-02-26 13:53:59+00:00,"better absolute link handling

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,24,16,8,,,,384,224,239,26,1.7297297297297298,64.0464895231475,12.666666666666666,17.0,67.64406524226239,1.4196581196581197,125.48593342419791,6.971440745788772,0.022548021747420793
27,d493720b7f69f776562e0df47dbfc2e7a43df868,Kenneth Reitz,2018-02-26 14:08:43+00:00,"travis

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,21,20,1,,,,384,224,239,26,1.7297297297297298,64.0464895231475,12.666666666666666,17.0,67.64406524226239,1.4196581196581197,125.48593342419791,6.971440745788772,0.022548021747420793
28,f1d8319a4b275fdc978414748372290b23611c53,Kenneth Reitz,2018-02-26 14:15:28+00:00,"support for base tag

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,15,11,4,1.0,1.0,1.0,391,228,243,27,1.7567567567567568,63.96289586791985,12.666666666666666,17.0,67.64406524226239,1.4196581196581197,125.48593342419791,6.971440745788772,0.022548021747420793
29,df901e566c47b96270f638d43ba3b054d8275403,Kenneth Reitz,2018-02-26 14:15:57+00:00,"v0.2.2

Signed-off-by: Kenneth Reitz <me@kennethreitz.org>",False,2,1,1,,,,391,228,243,27,1.7567567567567568,63.96289586791985,12.666666666666666,17.0,67.64406524226239,1.4196581196581197,125.48593342419791,6.971440745788772,0.022548021747420793
