ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,6317adfe060fd4437ac4cacab879df3ac4179901,Ray Holder,2013-01-20 04:37:34+00:00,add license and other project boilerplate,False,256,256,0,,,,39,12,29,2,,83.7366732897979,5.0,5.0,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456034
1,bf2248c2dd504e14c17ad741e60771a4a3586e48,Ray Holder,2013-01-20 04:56:10+00:00,"adding first stable implementation, reasonable passing test coverage",False,415,414,1,0.767175572519084,1.0,0.6717557251908397,452,271,311,47,1.6226415094339623,66.13461595051452,28.333333333333332,39.333333333333336,204.29243850638284,4.828502415458938,1358.0254781464623,75.44585989702568,0.06809747950212762
2,946c3ff731247e589a0c19997ce6f1dd7691032d,Ray Holder,2013-01-20 05:06:53+00:00,clean up some TODO's and comments,False,23,7,16,,,,443,271,311,35,1.6226415094339623,64.68731222258103,28.333333333333332,39.333333333333336,204.29243850638284,4.828502415458938,1358.0254781464623,75.44585989702568,0.06809747950212762
3,a56a5741f72d043a21c10c880d14b492e92ad448,Ray Holder,2013-01-20 05:36:02+00:00,drop in an __init__.py,False,1,1,0,,,,444,272,312,35,1.6226415094339623,73.51548416693578,21.25,29.5,153.21932887978713,3.621376811594203,1018.5191086098467,56.58439492276926,0.05107310962659571
4,4c30bdb48f4e0afb830d8284bdfd42cb20d58d49,Ray Holder,2013-01-21 08:14:31+00:00,"add test suite, clean up packaging",False,13,5,8,,,,441,271,313,34,1.6226415094339623,63.29526589280194,30.0,41.333333333333336,212.60296136282423,4.995169082125604,1372.4262025101973,76.2459001394554,0.07086765378760808
5,fd4d0e8470a95df48ed0d09f8c23a0054b5bd97d,Ray Holder,2013-01-22 00:47:43+00:00,"default to retry on any exception, handle @retry and @retry() behavior",False,53,27,26,1.0,0.0,1.0,442,285,303,35,1.6481481481481481,63.408843758397495,32.0,43.333333333333336,227.6245197302923,5.342391304347825,1610.9528062667553,89.49737812593087,0.07587483991009743
6,c4f99b5c0091379d48c2a10481a3c3e241b1592a,Ray Holder,2013-01-22 06:26:39+00:00,"add configurable support for wrapping any raised Exception in a RetryError instead of just raising it directly, add a few more comments",False,56,42,14,0.6,1.0,1.0,470,295,308,38,1.6666666666666667,64.66649911854277,32.0,43.333333333333336,227.6245197302923,5.342391304347825,1610.9528062667553,89.49737812593087,0.07587483991009743
7,d2bb0f06f6c06e00126cfda17b67cf6cc3d2a16c,Ray Holder,2013-01-22 06:29:01+00:00,add a few more tests for some edge cases,False,49,46,3,1.0,1.0,1.0,513,324,344,38,1.6333333333333333,63.40822950773267,32.0,43.333333333333336,227.6245197302923,5.342391304347825,1610.9528062667553,89.49737812593087,0.07587483991009743
8,f2237dfecd96eddd0c02afd3ddc52a5225315a22,Ray Holder,2013-01-22 06:29:33+00:00,sanitize setup.py one more time before release,False,2,1,1,,,,513,324,344,38,1.6333333333333333,63.40822950773267,32.0,43.333333333333336,227.6245197302923,5.342391304347825,1610.9528062667553,89.49737812593087,0.07587483991009743
9,e9a0bf4e8fd9aa23edb9ff0002fd698d2ce67b89,Ray Holder,2013-01-22 06:54:10+00:00,"Python 3.2 compatibility fix, since we don't have sys.maxint anymore...",False,6,4,2,,,,515,324,344,39,1.6333333333333333,63.457601943706834,32.0,43.333333333333336,227.6245197302923,5.342391304347825,1610.9528062667553,89.49737812593087,0.07587483991009743
