ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,66783448e021a19bed20e71919b255d0ea88356f,Phil Howard,2017-01-10 15:40:30+00:00,Initial Commit,False,5386,5386,0,0.262916939175932,0.5362982341399608,0.7769784172661871,363,273,244,29,2.0789473684210527,70.44864014983554,19.666666666666668,24.333333333333332,119.55078842216403,2.4876543209876547,463.55895109907675,25.75327506105982,0.03985026280738801
1,d90764f451021777640406440642d631f1ed9c26,Phil Howard,2017-01-10 16:04:02+00:00,Tweaked makefile and setup,False,38,30,8,,,,363,273,244,29,2.0789473684210527,70.44864014983554,19.666666666666668,24.333333333333332,119.55078842216403,2.4876543209876547,463.55895109907675,25.75327506105982,0.03985026280738801
2,3ff41f0f1d0779c178f63e43ba37220c2d28843b,Phil Howard,2017-01-10 16:27:36+00:00,"Rebuild bindings, version.h trickery",False,527,465,62,0.13732394366197184,0.852112676056338,1.0,406,319,286,29,2.1538461538461537,69.05120318118938,19.666666666666668,24.333333333333332,119.55078842216403,2.4876543209876547,463.55895109907675,25.75327506105982,0.03985026280738801
3,8d465319a68f4c39aca904e82f1ba773ed682932,Phil Howard,2017-01-10 16:29:44+00:00,"Added license, updated setup and manifest",False,28,27,1,,,,406,319,286,29,2.1538461538461537,69.05120318118938,19.666666666666668,24.333333333333332,119.55078842216403,2.4876543209876547,463.55895109907675,25.75327506105982,0.03985026280738801
4,c360339d7f5860cd779048beb8d251373b8cfbd8,Phil Howard,2017-02-07 10:45:44+00:00,Moved to library folder,False,30,22,8,,,,406,319,286,29,2.1538461538461537,69.05120318118938,19.666666666666668,24.333333333333332,119.55078842216403,2.4876543209876547,463.55895109907675,25.75327506105982,0.03985026280738801
5,afa632d294338565eb5227ab82d18f1b3a19ba14,Phil Howard,2017-02-07 11:51:07+00:00,Added rpi_ws281x module,False,20,15,5,,,,415,324,291,31,2.125,81.41014047212784,11.8,14.6,71.73047305329843,1.4925925925925927,278.13537065944604,15.451965036635892,0.023910157684432803
6,69c003c815adf5d86ea417a09920b574e7f0a68d,Phil Howard,2017-02-07 11:54:39+00:00,"Bumped version, updated authors",False,11,7,4,,,,418,324,291,33,2.125,81.41014047212784,11.8,14.6,71.73047305329843,1.4925925925925927,278.13537065944604,15.451965036635892,0.023910157684432803
7,80da96dbb5df3a035cdc65dcadd725136b7440ec,Phil Howard,2017-02-07 13:34:36+00:00,Typo fix,False,2,1,1,,,,418,324,291,33,2.125,81.41014047212784,11.8,14.6,71.73047305329843,1.4925925925925927,278.13537065944604,15.451965036635892,0.023910157684432803
8,a332da5a4104565dc2c1c9aa8bdef94739eaa52c,Phil Howard,2017-03-05 21:12:36+00:00,Reduced chance of binary files ending up in sdist,False,20,13,7,,,,418,324,291,33,2.125,81.41014047212784,11.8,14.6,71.73047305329843,1.4925925925925927,278.13537065944604,15.451965036635892,0.023910157684432803
9,3e9491f16542513e077f86bdc265f7a9585b618a,Phil Howard,2017-04-10 23:54:28+00:00,Gamma setting support,False,429,278,151,0.038461538461538464,0.3717948717948718,0.9871794871794872,430,332,298,35,2.175,81.23431549358305,11.8,14.6,71.73047305329843,1.4925925925925927,278.13537065944604,15.451965036635892,0.023910157684432803
10,1ab070cf930e50e1357816a731d381b498c97edd,Phil Howard,2017-04-11 11:21:17+00:00,"Added gamma argument and default, updated lib",False,8,6,2,0.0,1.0,0.0,434,335,301,35,2.2,81.11725723391119,12.4,15.2,75.9233011305524,1.595402298850575,321.50728304641444,17.861515724800803,0.02530776704351747
11,9ab86c72428fc1ffe47c15a7e867dbb71c05a636,Phil Howard,2017-04-11 13:04:27+00:00,Tweaked gamma correction typemap to match swig doc method,False,107,63,44,0.2222222222222222,1.0,0.0,437,337,303,35,2.2,81.0908295462088,12.4,15.2,75.9233011305524,1.595402298850575,321.50728304641444,17.861515724800803,0.02530776704351747
12,8aadc7e54062debe57f118c61455555f35fff63d,Phil Howard,2017-04-26 12:59:50+00:00,Fixed gamma bindings to avoid need for set after init,False,30,15,15,0.5,0.75,0.0,436,336,302,35,2.2,81.10425933646928,12.4,15.2,75.9233011305524,1.595402298850575,321.50728304641444,17.861515724800803,0.02530776704351747
13,6f505762f6cc52044c5a0ef2bd00834ecf9fe37b,Phil Howard,2017-08-18 12:43:28+00:00,Updated to latest rpi_ws281x,False,163,134,29,0.29069767441860467,0.8255813953488372,1.0,439,340,305,35,2.225,81.02607127078572,12.4,15.2,75.9233011305524,1.595402298850575,321.50728304641444,17.861515724800803,0.02530776704351747
14,7c7513aec0aa60dd2d8c3d8fdcb2e8bba6fa3ef6,Phil Howard,2017-08-18 12:54:47+00:00,Added Makefile to MANIFEST.in,False,3,2,1,,,,439,340,305,35,2.225,81.02607127078572,12.4,15.2,75.9233011305524,1.595402298850575,321.50728304641444,17.861515724800803,0.02530776704351747
15,d708b3b885b9c4ba09b117953c0c2f9257e85e64,Phil Howard,2017-09-11 10:40:07+00:00,Prep for 3.0.2 with gamma fix,False,6,3,3,,,,439,340,305,35,2.225,81.02607127078572,12.4,15.2,75.9233011305524,1.595402298850575,321.50728304641444,17.861515724800803,0.02530776704351747
16,e7f01dd209eb952c84fe648278015acc19562c1b,Phil Howard,2017-09-11 14:00:46+00:00,Added setGamma,False,5,5,0,1.0,1.0,1.0,444,344,309,35,2.2439024390243905,80.75160883144773,14.0,17.0,88.45667641202125,1.7961904761904761,443.9048325083446,24.661379583796922,0.029485558804007085
17,466daa73a5a316b6748f198492833e03ae09aac9,Phil Howard,2017-09-11 14:29:53+00:00,Prep for 3.0.3,False,4,2,2,,,,444,344,309,35,2.2439024390243905,80.75160883144773,14.0,17.0,88.45667641202125,1.7961904761904761,443.9048325083446,24.661379583796922,0.029485558804007085
18,b071da7a6d280d0737f32e8fcf6a9258708b9ed8,"Ramsay, Grant (NZ)",2018-01-24 22:39:33+00:00,"Fix the default DMA in python code

DMA 5 causes file system errors on PI 3",False,4,2,2,,,,444,344,309,35,2.2439024390243905,80.75160883144773,14.0,17.0,88.45667641202125,1.7961904761904761,443.9048325083446,24.661379583796922,0.029485558804007085
19,d02149c0b58ee14fcbd69917fc1909310a5c0d4f,Phil Howard,2018-01-25 10:21:17+00:00,Version 3.0.4 bump,False,4,2,2,,,,444,344,309,35,2.2439024390243905,80.75160883144773,14.0,17.0,88.45667641202125,1.7961904761904761,443.9048325083446,24.661379583796922,0.029485558804007085
20,17d7e3cc42d595b22363f57666120791d679b686,Phil Howard,2018-01-25 10:23:42+00:00,Prep for 3.0.5 with DMA channel fix,False,4,2,2,,,,444,344,309,35,2.2439024390243905,80.75160883144773,14.0,17.0,88.45667641202125,1.7961904761904761,443.9048325083446,24.661379583796922,0.029485558804007085
21,cc6a31dc5092692eb91d25f9628539c06602e138,Phil Howard,2018-01-25 12:13:49+00:00,Prep for 3.0.6,False,20,2,18,0.14285714285714285,0.0,0.14285714285714285,428,337,302,30,2.225,81.0056601864708,13.6,16.4,84.46275766173805,1.8,421.7853330156514,23.432518500869524,0.028154252553912684
22,3ea789dc4d324842b817ba2d03c90818ff3f307c,Phil Howard,2018-03-15 09:51:13+00:00,Added Pi 3 B+ support,False,4,2,2,,,,428,337,302,30,2.225,81.0056601864708,13.6,16.4,84.46275766173805,1.8,421.7853330156514,23.432518500869524,0.028154252553912684
23,29725fac9a2243d5b6bc377b375b0a3206ba6056,Phil Howard,2018-04-16 16:43:41+00:00,Fixes for #3 and #4,False,30,24,6,0.0,0.0,0.0,436,342,308,32,2.275,80.78151472472982,14.8,18.2,96.57659925738929,1.7897435897435898,488.860495310632,27.158916406146222,0.03219219975246309
24,2064e3dc33e5b9e3c7752a3c362324def3c60347,Phil Howard,2018-04-17 09:53:51+00:00,Maintain legacy comptibility with Unicorn HAT,False,13,7,6,0.0,0.0,0.0,437,343,309,32,2.3,80.70635506358363,15.0,18.8,100.33431194981216,1.8158333333333332,520.2072707771961,28.900403932066446,0.03344477064993738
25,ee699a89e9e93a27961eb1d3e0fb4bd2d3213a3a,Phil Howard,2018-04-17 09:59:46+00:00,Added examples from upstream,False,626,626,0,0.8508771929824561,1.0,0.3508771929824561,1063,730,701,260,2.5636363636363635,76.95805622963958,21.0,35.833333333333336,187.0651754772235,3.208411068540945,1164.2557751860652,64.68087639922582,0.062355058492407835
26,3710c3449683d27eddd12bf5abc9b271b2969fd1,Phil Howard,2018-04-17 10:02:37+00:00,Fix for rainbowCycle from @iFreilicht jgarff/rpi_ws281x#287,False,2,1,1,,,,1063,730,701,260,2.5636363636363635,76.95677669951625,21.083333333333332,35.833333333333336,187.30087098284687,3.2738872590171355,1202.5067612059772,66.80593117810984,0.062433623660948956
27,9f7c6b773ad57d0d76c859450ec48f1863ea1516,Phil Howard,2018-04-17 10:07:02+00:00,Bumped lib version,False,2,1,1,,,,1063,730,701,260,2.5636363636363635,76.95677669951625,21.083333333333332,35.833333333333336,187.30087098284687,3.2738872590171355,1202.5067612059772,66.80593117810984,0.062433623660948956
28,53228626f48a4645afdfa237295a404a83b24fed,Phil Howard,2018-04-17 10:16:16+00:00,Tidying up for 3.1.0,False,246,155,91,,,,1064,730,702,260,2.5636363636363635,76.28105959615912,21.5,36.333333333333336,188.46183503029056,3.3155539256838025,1203.087243229699,66.83818017942772,0.06282061167676352
29,5c8372c5dd3e15c39de922d3c1eca74c31fb2448,Phil Howard,2018-08-28 15:11:10+00:00,Changed references from neopixel to rpi_ws281x,False,10,5,5,,,,1064,730,702,260,2.5636363636363635,76.28105959615912,21.5,36.333333333333336,188.46183503029056,3.3155539256838025,1203.087243229699,66.83818017942772,0.06282061167676352
30,60b034817e9dd2082b6a8eee0e108e214747bb5b,Phil Howard,2018-08-28 17:15:19+00:00,Removed legacy NeoPixel shim,False,6,1,5,,,,1061,728,700,259,2.5636363636363635,74.12479228671904,23.454545454545453,39.63636363636363,205.59472912395333,3.6169679189277844,1312.4588107960353,72.91437837755751,0.06853157637465111
31,d0eba4bf2b2cf119349f2aded444fd97af950d76,Phil Howard,2018-08-29 09:46:18+00:00,Prep for v4.0.0,False,7,6,1,,,,1061,728,700,259,2.5636363636363635,74.12479228671904,23.454545454545453,39.63636363636363,205.59472912395333,3.6169679189277844,1312.4588107960353,72.91437837755751,0.06853157637465111
