ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,7299e79ebf14b6d4f15f5b910ac5bf93a57812ab,Karl-Petter Lindegaard,2016-04-04 01:31:26+00:00,Initial version,False,497,496,1,0.6870229007633588,1.0,0.5419847328244275,410,191,213,74,1.6153846153846154,85.72003567980528,5.75,10.5,36.94134357365111,1.6272727272727274,116.79299948698505,6.488499971499169,0.012313781191217038
1,566c69d0b9cca4fe9c3d009df7b522d4d527791b,Karl-Petter Lindegaard,2016-04-04 01:40:58+00:00,Update readme in setup.,False,78,77,1,,,,486,191,264,74,1.6153846153846154,85.72003567980528,5.75,10.5,36.94134357365111,1.6272727272727274,116.79299948698505,6.488499971499169,0.012313781191217038
2,498a8be766f8660efd6bc56e4be75ed10973b994,Karl-Petter Lindegaard,2016-04-05 16:23:36+00:00,Fixed Python3 import issue. Added unit tests for internal datatypes.,False,67,64,3,1.0,1.0,1.0,547,214,287,99,1.6896551724137931,85.51287454168013,5.6,10.2,33.732545429718144,1.451818181818182,96.56900251768597,5.364944584315888,0.011244181809906047
3,f4c81409e5c77ac9fb738b9c96d7a40c4bf410ad,Karl-Petter Lindegaard,2016-04-19 18:21:43+00:00,Modified README.md and setup.py.,False,26,18,8,,,,555,214,289,99,1.6896551724137931,85.51287454168013,5.6,10.2,33.732545429718144,1.451818181818182,96.56900251768597,5.364944584315888,0.011244181809906047
4,c34eb2e154a29d1d0f5961f3517a7480f943fba1,Lars Kruse,2016-07-12 12:58:29+00:00,"accept zero (0) as a bus ID

previously a bus ID of zero did not trigger the implicite ""open"" call
during the object initialization",False,2,1,1,,,,555,214,289,99,1.6896551724137931,85.40161322974627,6.2,10.8,37.49706557858574,1.5623076923076922,119.96012410890424,6.66445133938357,0.012499021859528581
5,f0e0d6d26585223b7dbda0a0965291850d0ab161,Arti Zirk,2016-08-09 23:30:53+00:00,Save address when setting it,False,1,1,0,1.0,1.0,1.0,556,215,290,99,1.6896551724137931,85.4005891854003,6.2,10.8,37.49706557858574,1.5623076923076922,119.96012410890424,6.66445133938357,0.012499021859528581
6,d14faa2d3375ee6685fd07f0994067d3965bc289,Arti Zirk,2016-08-10 00:17:40+00:00,Add a force flag for forcing address use even when a driver is already using it,False,13,10,3,1.0,1.0,0.0,563,220,295,100,1.7241379310344827,85.32204543661626,6.2,10.8,37.49706557858574,1.5623076923076922,119.96012410890424,6.66445133938357,0.012499021859528581
7,f337ae67fd26d4661c2de9a20142a7fa3b58959b,Karl-Petter Lindegaard,2016-08-13 10:47:25+00:00,Improved unit testing by mocking i2c I/O.,False,69,62,7,1.0,0.2777777777777778,0.2777777777777778,618,257,332,107,1.84375,82.71865192889909,12.0,19.8,92.3361779855105,2.000928381962865,461.334292535227,25.629682918623722,0.03077872599517017
8,7c89978233a0adc323358413b7aeac6b0aadb015,Karl-Petter Lindegaard,2016-08-14 12:20:48+00:00,Improved PyPi compliance,False,207,122,85,,,,538,260,282,108,1.84375,82.71865192889909,12.0,19.8,92.3361779855105,2.000928381962865,461.334292535227,25.629682918623722,0.03077872599517017
9,e98f17900090d9ef01a77db51448305a8bacf0de,YuLun Shih,2016-09-13 07:49:59+00:00,Add force option for SMBusWrapper,False,5,3,2,1.0,1.0,0.0,539,261,283,108,1.84375,82.71699741927982,12.0,19.8,92.3361779855105,2.000928381962865,461.334292535227,25.629682918623722,0.03077872599517017
10,a115a850ed7c8ecc7438fff0d5c40e230eaf6579,Karl-Petter Lindegaard,2016-09-18 10:26:55+00:00,Some additional comments and ticked up version number.,False,10,8,2,,,,545,262,283,108,1.84375,82.61338212628341,12.0,19.8,92.3361779855105,2.000928381962865,461.334292535227,25.629682918623722,0.03077872599517017
11,73e5101142ae92317a35055d83aaaf7926e85d6d,Rail Shafigulin,2017-05-11 21:51:54+00:00,Add support for send_byte,False,15,15,0,1.0,1.0,0.0,560,268,290,109,1.8181818181818181,82.4935797023231,12.0,19.8,92.3361779855105,2.000928381962865,461.334292535227,25.629682918623722,0.03077872599517017
12,488ecff13beb19d1d13239e3bccf05f31453b0b8,Rail Shafigulin,2017-05-11 21:53:32+00:00,Proper comment,False,2,1,1,,,,560,268,290,109,1.8181818181818181,82.4935797023231,12.0,19.8,92.3361779855105,2.000928381962865,461.334292535227,25.629682918623722,0.03077872599517017
13,cdbd8fb880a80b589bb79aae7fd9059d3b2164b7,Rail Shafigulin,2017-05-11 22:58:03+00:00,Rename send_byte to write_byte. Fix comments.,False,7,3,4,,,,559,268,290,109,1.8181818181818181,82.50877106701356,12.0,19.8,92.3361779855105,2.000928381962865,461.334292535227,25.629682918623722,0.03077872599517017
14,18b71f6728d5077329b60a47c71ab90869d24e00,Karl-Petter Lindegaard,2017-05-12 21:10:30+00:00,"Added read_byte() support, the complement to write_byte().",False,23,20,3,1.0,1.0,1.0,574,274,297,110,1.7941176470588236,82.39270714104241,12.0,19.8,92.3361779855105,2.000928381962865,461.334292535227,25.629682918623722,0.03077872599517017
15,459a82f640758c82b17b854b80406362a394092f,Karl-Petter Lindegaard,2017-08-19 18:31:36+00:00,Support for i2c_rdwr combined transactions. Unit tests and documentation.,False,309,294,15,1.0,1.0,1.0,732,360,390,120,1.816326530612245,79.89797091939086,15.4,24.6,119.63911240692478,2.475390875990576,650.8131746375029,36.15628747986128,0.03987970413564159
16,9cdfa34ac061c7dac5738d1fad6bc349c05379fa,Thijs Triemstra,2017-12-27 22:00:25+00:00,"Add API docs (#16)

* add api documentation
* add more classifiers
* add ignore file
* add sphinx doc build
* remove deprecated python 3.3
* add setuptools config file for flake8
* add tox build
* pep8 fixes",False,541,460,81,1.0,1.0,1.0,987,401,474,238,1.803921568627451,83.25427981886702,12.833333333333334,20.5,99.69926033910399,2.062825729992147,542.3443121979191,30.130239566551065,0.033233086779701326
17,cb845cb7214a0cb08dec5fddf7ce82e1e159fdd4,Karl-Petter Lindegaard,2017-12-28 00:11:21+00:00,Cleaned API documentation.,False,60,40,20,,,,1006,402,474,226,1.803921568627451,83.0998208331708,12.833333333333334,20.5,99.69926033910399,2.062825729992147,542.3443121979191,30.130239566551065,0.033233086779701326
18,60819c7e9fc53e3a483b2ab98e22d250606bd1a3,nxet,2018-06-02 10:57:16+00:00,"force single r/w operation (#20)

Read/write functions accept the keyword parameter `force`, which is passed to _set_address.",False,61,41,20,1.0,1.0,0.0,1027,405,477,226,1.8431372549019607,82.73442117481598,14.0,22.5,112.41058141829534,2.176518883415435,651.2063408576886,36.17813004764937,0.037470193806098444
19,8d536877fdc1a58b8cacd1b4c800083e3f8db15a,Karl-Petter Lindegaard,2018-06-02 15:47:30+00:00,Version 0.2.1,False,2,1,1,,,,1027,405,477,226,1.8431372549019607,82.73442117481598,14.0,22.5,112.41058141829534,2.176518883415435,651.2063408576886,36.17813004764937,0.037470193806098444
20,c3c0eca9845a1400d9ed7a0a78bb45a9b819cb69,Karl-Petter Lindegaard,2019-01-03 02:50:45+00:00,"SMBus Quick command (#27)

SMBus Quick command (issue #7) implemented.",False,41,37,4,0.0,0.6666666666666666,0.25,1055,418,493,227,1.849056603773585,82.27699200973923,14.833333333333334,24.666666666666668,126.01400843438898,2.2110016420361247,744.143991300272,41.341332850015114,0.04200466947812966
21,20597bc148a20ccae79093230f90506c08151db5,Paulo Costa,2019-01-09 18:33:18+00:00,"Add missing SMBus operations: block_read, block_write, proc_call, block_proc_call (#28)

* Added support for process_call
* Added read_block_data, write_block_data.
* Added block_process_call",False,100,99,1,1.0,1.0,0.0,1153,460,535,228,1.8245614035087718,81.58864599241973,16.5,28.666666666666668,151.60127025075295,2.2728937728937733,939.9326870344809,52.21848261302671,0.05053375675025098
22,38b16f43b575abb8273b7ed3d93545662d43ba44,Karl-Petter Lindegaard,2019-01-09 19:01:51+00:00,Deleted __slots__ from i2c_msg class.,False,16,12,4,,,,1152,459,534,228,1.8070175438596492,81.60798203386888,16.5,28.666666666666668,151.60127025075295,2.2728937728937733,939.9326870344809,52.21848261302671,0.05053375675025098
23,2dcf6ab5d9c187917f3bf2ddb0c787945511d4cc,Paulo Costa,2019-01-09 19:50:48+00:00,Added implicit i2c_msg -> bytes convertion (#29),False,13,12,1,1.0,1.0,1.0,1163,466,541,228,1.75,81.53687575182524,16.833333333333332,29.166666666666668,155.21664214279858,2.25725900116144,957.5124704158474,53.195137245324844,0.05173888071426619
24,269ef8d3b867d672d6d553e626c62beb1274f0ab,Karl-Petter Lindegaard,2019-01-10 00:00:22+00:00,Fixed Python 2.7 issues in previous commit.,False,21,16,5,0.0,1.0,1.0,1173,476,550,228,1.7540983606557377,81.13937463401389,17.666666666666668,30.166666666666668,161.7358288022759,2.34625322997416,983.7911880810433,54.6550660045024,0.05391194293409198
25,0542eb6205788b324ce93de4adc7a6289bb78e77,Karl-Petter Lindegaard,2019-01-10 00:05:15+00:00,Fixed issue #32: Incorrect i2c_msg write object from string in Py3,False,2,1,1,,,,1173,476,550,228,1.7540983606557377,81.13937463401389,17.666666666666668,30.166666666666668,161.7358288022759,2.34625322997416,983.7911880810433,54.6550660045024,0.05391194293409198
26,21fe27bafee8d5d8cff981e27a1cc6693385863e,Karl-Petter Lindegaard,2019-01-10 00:13:36+00:00,Fix Travis complaint: Linting,False,2,0,2,,,,1171,475,549,228,1.7540983606557377,81.16921197162382,17.666666666666668,30.166666666666668,161.7358288022759,2.34625322997416,983.7911880810433,54.6550660045024,0.05391194293409198
27,2e3358083ce82f93d4697fad6d9c6d7182fa593d,Karl-Petter Lindegaard,2019-01-10 00:30:04+00:00,Fixed issue #32: Incorrect i2c_msg write object from string in Py3,False,7,6,1,,,,1055,418,493,227,1.849056603773585,82.27699200973923,14.833333333333334,24.666666666666668,126.01400843438898,2.2110016420361247,744.143991300272,41.341332850015114,0.04200466947812966
28,f14d2b169562f35b0aaccd5c1d4ac78fa141931b,Paulo Costa,2019-09-01 15:14:47+00:00,"Expose enumeration of I2c funcs (#30)

* Expose enumeration of I2c funcs

Previously, smbus.funcs was defined, but it's flags were not exported.
To avoid clutter, I've moved all the values into the `I2cFunc` class, and exported it.
On newer python releases, I2cFunc acts as an IntFlags, which is easier to read than a plain int.
On older releases, it falls back to a pure `int`.",False,68,46,22,,,,1195,488,561,228,1.7419354838709677,81.11724860115038,17.666666666666668,30.166666666666668,161.7358288022759,2.34625322997416,983.7911880810433,54.6550660045024,0.05391194293409198
29,e557018b8135270e65f129b7b0f0fc51b89069b2,Stefan S,2019-09-01 15:35:57+00:00,"Further smbus extensions (#39)

* SMBus.__init__(), SMBus.open(): `bus` can be a file path as well (issue #17).
* Whole class i2c_msg_iter replaced by a simple generator function which has the same functionality
* Added enter/exit handler to `SMBus` class.
* Added i2c_write and i2c_read, some very basic and most simple read/write operations.
* Additional test cases",False,150,118,32,0.8636363636363636,1.0,0.6590909090909091,1281,540,607,230,1.8307692307692307,79.78039847747476,19.333333333333332,32.333333333333336,178.06604475250492,2.5169683961677243,1174.1263940821098,65.22924411567277,0.05935534825083497
30,c1ea712ef73a8bcedb60e55ed935beb81e03523e,Karl-Petter Lindegaard,2019-09-01 16:20:17+00:00,Updated docs and removed i2c_read/write as per discussion in PR #39.,False,144,69,75,0.0,,1.0,1262,537,606,232,1.8615384615384616,79.76766136686983,19.333333333333332,33.166666666666664,182.74003036462204,2.445090439276486,1162.777459487617,64.59874774931205,0.060913343454874015
31,ba9dcc59a255b5a139665df0b7b3009b57bf9ed3,Karl-Petter Lindegaard,2019-09-01 20:40:42+00:00,Updated test for i2c-functionality.,False,16,12,4,0.5,0.25,0.25,1270,542,611,234,1.876923076923077,79.60756322542615,20.666666666666668,35.666666666666664,200.74165393396638,2.562919896640827,1357.3272051041406,75.40706695023003,0.06691388464465546
32,ef05143de104e396606e29ae9a9607af791db0ba,Karl-Petter Lindegaard,2019-09-07 10:00:02+00:00,Ticked up version and docs.,False,16,13,3,,,,1270,542,611,234,1.876923076923077,79.60756322542615,20.666666666666668,35.666666666666664,200.74165393396638,2.562919896640827,1357.3272051041406,75.40706695023003,0.06691388464465546
33,d312ec154aeadccee165bdfc167793557a380722,Fabian,2020-06-07 09:47:09+00:00,Use decode to convert __bytes__ to __str__ (#45),False,6,3,3,0.0,0.0,0.0,1270,540,610,235,1.8461538461538463,79.67011130516416,20.333333333333332,35.166666666666664,197.1007621304009,2.5771002710027098,1339.5290710563509,74.41828172535283,0.06570025404346697
34,8b91d8211c4c22d832331a0e2fd576f0a8b0e249,Karl-Petter Lindegaard,2020-06-07 10:20:30+00:00,Python 3.8 support. (#47),False,12,7,5,,,,1271,540,611,235,1.8461538461538463,79.67011130516416,20.333333333333332,35.166666666666664,197.1007621304009,2.5771002710027098,1339.5290710563509,74.41828172535283,0.06570025404346697
35,80c2cf8157517c258939395e315c6d7afc3443d0,Karl-Petter Lindegaard,2020-08-22 12:02:36+00:00,Drop .rst and add .md docs to source distro. (#52),False,209,5,204,,,,1272,540,612,235,1.8461538461538463,79.67011130516416,20.333333333333332,35.166666666666664,197.1007621304009,2.5771002710027098,1339.5290710563509,74.41828172535283,0.06570025404346697
