ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,bd71be32abead38ec0b69695347219024efea0fe,Simon Willison,2018-07-28 13:46:17+00:00,Initial project layout + database table creation tools,False,458,458,0,0.5644171779141104,0.6380368098159509,0.4049079754601227,423,141,275,92,2.409090909090909,86.9511685959918,4.714285714285714,5.714285714285714,23.273995760676538,0.5793650793650793,60.49920075415,3.3610667085638886,0.00775799858689218
1,3c50a3600d0975b84d98c93bb2336a790afc6aca,Simon Willison,2018-07-28 14:29:20+00:00,Unit test for black-approved coding style,False,16,15,1,1.0,1.0,1.0,437,149,286,92,2.347826086956522,84.85857493527988,5.0,6.125,23.523020577906777,0.6569444444444444,56.726729804659016,3.151484989147723,0.007841006859302259
2,501618d0d519f808e54210f3c54420e5559a9343,Simon Willison,2018-07-28 14:36:43+00:00,Ensure black is correctly installed for tests,False,5,3,2,,,,438,150,287,92,2.347826086956522,84.85857493527988,5.0,6.125,23.523020577906777,0.6569444444444444,56.726729804659016,3.151484989147723,0.007841006859302259
3,56e29158fe5174a5b06d0a58090da7fb4624ed60,Simon Willison,2018-07-28 18:18:40+00:00,"Don't run black test on Python 3.7

It breaks on that version - see https://github.com/ambv/black/issues/425

But that's OK, we only need it to run onder one version anyway.",False,6,6,0,,,,444,154,293,92,2.347826086956522,84.37841888620441,5.0,6.125,23.523020577906777,0.6569444444444444,56.726729804659016,3.151484989147723,0.007841006859302259
4,acea54877ca65f08cef4f7260bd7f7fcabe31b90,Simon Willison,2018-07-28 22:06:59+00:00,Create table now works for pure m2m where both rows are foreign keys,False,73,46,27,0.3888888888888889,0.0,0.7777777777777778,463,165,311,91,2.2083333333333335,83.6993785845753,5.0,6.5,24.950431860121036,0.6181818181818182,52.11283007799589,2.8951572265553276,0.008316810620040345
5,95bce37ad3447d3c265316fa029fc09b7bbdae11,Simon Willison,2018-07-28 22:20:29+00:00,Store list/dict/tuple values as JSON strings,False,40,36,4,0.7142857142857143,0.7142857142857143,0.8571428571428571,495,182,337,93,2.1923076923076925,83.19156012565301,5.75,7.625,30.99074113351435,0.6137254901960784,60.481294420941026,3.3600719122745017,0.010330247044504783
6,e51f36d3ebb28378d0938aabb80a432720269bce,Simon Willison,2018-07-28 22:41:18+00:00,"Added table.foreign_keys property, fixed bug in foreign key creation",False,40,39,1,0.0,1.0,1.0,533,193,374,93,2.2222222222222223,82.76088332656109,6.375,8.375,35.445975074979344,0.676702786377709,78.34556572909823,4.352531429394346,0.011815325024993113
7,0d63128c40aec15a958dddf181c13e0db1c7908b,Simon Willison,2018-07-29 00:42:41+00:00,"Preparing v0.2, first release to PyPI",False,22,21,1,,,,535,194,375,93,2.2222222222222223,82.76088332656109,6.375,8.375,35.445975074979344,0.676702786377709,78.34556572909823,4.352531429394346,0.011815325024993113
8,b69f8b6c856adff577fe6a1816359bb00e82ffd1,Simon Willison,2018-07-31 03:24:35+00:00,"table.count property, plus made a start on table documentation",False,81,80,1,1.0,1.0,1.0,569,211,402,93,2.064516129032258,80.90247747387438,6.222222222222222,8.11111111111111,33.055485463239876,0.6570691434468524,70.41447890193865,3.9119154945521473,0.011018495154413293
9,5deb65f0623bff03421f50d3c61f699b981ae18b,Simon Willison,2018-07-31 03:30:23+00:00,"Now you just 'from sqlite_utils import Database'

Plus fixed ad_id in the Russian ads example in the docs",False,22,13,9,,,,572,213,404,93,2.064516129032258,80.90247747387438,6.222222222222222,8.11111111111111,33.055485463239876,0.6570691434468524,70.41447890193865,3.9119154945521473,0.011018495154413293
