ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,3cfb03a04b6a6871c2178aa0b4bd6a74cfa80f6c,gousaiyang,2019-01-22 14:22:13+00:00,Init repo,False,77,77,0,1.0,1.0,0.35714285714285715,67,23,41,0,1.0,98.23213764879932,1.5,1.5,2.3774437510817346,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
1,8dd8973a5aaa84611d2ebef1ea71d1801d8b24e9,gousaiyang,2019-01-23 03:57:43+00:00,Update setup.py to read README.rst,False,5,2,3,,,,66,23,40,0,1.0,98.23213764879932,1.5,1.5,2.3774437510817346,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
2,596444a7ba35b9083ffedac6c18b306f8c024e1b,gousaiyang,2019-01-23 09:10:05+00:00,Fix and polish README,False,115,56,59,,,,70,24,43,0,1.0,98.23213764879932,1.5,1.5,2.3774437510817346,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
3,6175bda2cb95ad0c4180498b16bf42529aabc78f,Jarry Shaw,2019-01-24 02:29:47+00:00,"New functions & arguments
 - add target, exception and strict function to tbtrim.set_trim_rule
 - add contextmanaget tbtrim.context_trim_rule
 - update README",False,69,59,10,1.0,1.0,0.0,109,51,64,0,2.0,89.4713412401951,7.0,9.0,34.266194298518435,1.5277777777777777,104.7022603565841,5.8167922420324505,0.011422064766172812
4,46fee5ab422c7785777d98ec395ee161978fc0f1,gousaiyang,2019-01-24 09:17:28+00:00,"Minor cleanup

- Revise doc of `set_trim_rule`
- Remove `context_trim_rule` because it is not actually effective
- Fix default value of the `exception` parameter of `set_trim_rule`
- Format code",False,36,12,24,0.0,0.0,1.0,101,44,59,0,2.3333333333333335,90.45139269596518,7.0,9.0,34.266194298518435,1.5277777777777777,104.7022603565841,5.8167922420324505,0.011422064766172812
5,9bd49bb2a3cf9be6927337e70be5abecdbd64216,Jarry Shaw,2019-02-01 09:24:18+00:00,Fixed minor bugs in `_exception_predicate` when using non-strict mode`,False,2,1,1,,,,101,44,59,0,2.3333333333333335,90.45139269596518,7.0,9.0,34.266194298518435,1.5277777777777777,104.7022603565841,5.8167922420324505,0.011422064766172812
6,cb157e7aaf82ecef1d66e9a2286bbab0db916edb,gousaiyang,2019-02-28 15:32:14+00:00,"Do not print ""Traceback (most recent call last):"" when limit = 0",False,7,5,2,1.0,1.0,0.0,104,47,62,0,2.3333333333333335,89.68450582274619,8.0,10.5,42.0,1.95,163.79999999999998,9.1,0.014
7,c32b88c82163602d12ad58271ec6c835f820c0aa,gousaiyang,2019-03-14 08:28:02+00:00,Add test and Travis CI,False,56,56,0,1.0,1.0,1.0,150,77,92,0,1.5555555555555556,83.49525951966186,5.2,6.4,22.24274537572486,1.08,70.48725662550851,3.9159587014171393,0.007414248458574954
8,9b1fb5b82ae6f41002d3647ae4cda267daec3b0b,gousaiyang,2020-01-15 04:49:09+00:00,Fix sys.path manipulation in test,False,4,3,1,,,,152,79,94,0,1.5555555555555556,83.17873599082638,5.2,6.4,22.24274537572486,1.08,70.48725662550851,3.9159587014171393,0.007414248458574954
9,30262f89a9ddd44a6af9392afe9a9b6f8c99903f,gousaiyang,2020-01-15 07:19:48+00:00,"Support threading.excepthook, improve test",False,293,238,55,1.0,0.8793103448275862,0.8706896551724138,337,209,247,3,1.4375,77.95138749597815,7.6,10.8,45.016320890787235,1.4294117647058824,197.00220179743945,10.944566766524414,0.015005440296929077
10,eeccf41d873e20b2c7a696e6d31a2f5e298f9e79,gousaiyang,2020-01-15 07:23:02+00:00,Add test_threading_clear,False,7,7,0,1.0,1.0,1.0,344,215,253,3,1.4242424242424243,77.51968548803032,8.4,12.0,50.778491150248385,1.4294117647058824,205.64545718663118,11.424747621479508,0.01692616371674946
11,e2342db5c17c12cc8a87e7eb07513f062fbec520,gousaiyang,2020-01-15 07:26:14+00:00,Use skipUnless,False,8,4,4,,,,344,215,253,3,1.4242424242424243,77.51968548803032,8.4,12.0,50.778491150248385,1.4294117647058824,205.64545718663118,11.424747621479508,0.01692616371674946
12,f2d004a4f83043916a7c3b35d670d58751dc0366,gousaiyang,2020-01-16 01:21:51+00:00,Improve backward compatibility and documentation,False,60,31,29,,,,345,215,253,3,1.4242424242424243,77.55624318604464,8.4,12.0,50.778491150248385,1.4294117647058824,205.64545718663118,11.424747621479508,0.01692616371674946
13,37ef6f7476b61cc5781c78257a0f4aafeeb197cb,gousaiyang,2020-01-16 01:32:07+00:00,Improve test with legacy `exception` passed as positional argument,False,18,15,3,1.0,1.0,1.0,357,225,263,3,1.4,77.3698889011988,8.4,12.0,50.778491150248385,1.4294117647058824,205.64545718663118,11.424747621479508,0.01692616371674946
14,484d0805dd6766c06c1cf1daf9699aa23f1795ae,gousaiyang,2020-01-16 01:36:46+00:00,v0.3.1,False,2,1,1,,,,357,225,263,3,1.4,77.3698889011988,8.4,12.0,50.778491150248385,1.4294117647058824,205.64545718663118,11.424747621479508,0.01692616371674946
