ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,9959a30b4285b4ebe3b1a8f576817b6990801819,Sébastien Eustace,2018-07-06 19:15:46+00:00,Initial commit (parser),False,1690,1690,0,0.5066137566137566,0.5158730158730159,0.8227513227513228,1519,894,957,170,2.2466666666666666,78.38448174079595,17.733333333333334,29.066666666666666,185.80180165694807,1.3203165522501905,1317.6393376673182,73.20218542596211,0.061933933885649356
1,a304a39071cef76886e472be6c89d44374a8ba1a,Sébastien Eustace,2018-07-07 00:25:25+00:00,Improve the public API,False,379,371,8,0.6357615894039735,1.0,0.9536423841059603,1882,1111,1171,193,2.042105263157895,73.49283590145589,18.9375,31.0625,190.8587349125516,1.4628643433179724,1283.8967780241085,71.32759877911714,0.06361957830418387
2,4a094491aae8fd0de32e8a19296fb4bb6b32bbc8,Sébastien Eustace,2018-07-08 06:51:06+00:00,Improve public API,False,334,318,16,0.5025125628140703,0.9045226130653267,0.7688442211055276,2184,1312,1385,222,2.0787037037037037,70.87230524582351,21.352941176470587,34.705882352941174,214.3079583928378,1.6177746343546493,1420.5383321770537,78.91879623205854,0.07143598613094594
3,122e536b19a4817eabc6df3ea41b611aec9bae54,Sébastien Eustace,2018-07-09 21:37:26+00:00,Improve and fix behavior,False,278,238,40,0.5634920634920635,0.8174603174603174,0.9206349206349206,2385,1449,1526,248,2.0504201680672267,69.30426492331807,23.88888888888889,39.72222222222222,243.83704276982664,1.7211542829253526,1579.7131574599757,87.76184208110978,0.08127901425660888
4,096e4e15bf6143b167e312f611cb2b47c64a52c9,Sébastien Eustace,2018-07-09 22:36:47+00:00,MAke the public API more intuitive,False,114,59,55,1.0,0.0,0.0,2389,1453,1528,247,2.0546218487394956,69.32279593679345,23.444444444444443,39.0,238.25953876861684,1.7322886251528848,1545.6365355018045,85.86869641676691,0.07941984625620561
5,c957852c6f659c9bc30ed917b244f95dd24c7338,Sébastien Eustace,2018-07-09 22:48:14+00:00,Rename library to tomlkit,False,154,85,69,1.0,1.0,1.0,2405,1463,1538,247,2.0502092050209204,67.49791620990624,23.72222222222222,39.333333333333336,239.033514800246,1.7600664029306625,1546.0235235176192,85.89019575097885,0.07967783826674865
6,bafb12c1cd21271ac60bc066cad34c6b6e33b34a,Sébastien Eustace,2018-07-09 23:07:04+00:00,Fix tables and containers behavior,False,22,20,2,1.0,1.0,1.0,2423,1475,1550,252,2.0327868852459017,67.42553971251067,23.944444444444443,39.611111111111114,241.1151831273437,1.7902000565399259,1570.5040663449736,87.2502259080541,0.08037172770911456
7,88ddae583e6dfc4628a0b470590c343ab7654b6e,Sébastien Eustace,2018-07-10 01:50:33+00:00,Fix and update for Python <3.5,False,247,227,20,0.6601941747572816,0.7281553398058253,0.7961165048543689,2613,1599,1689,256,2.10077519379845,66.63676334416267,26.105263157894736,42.36842105263158,257.5858492153055,2.0775579483009823,1699.262764499974,94.40348691666523,0.08586194973843515
8,020fe1b76c8c2e0b824b2f666354cc92acf3cc68,Sébastien Eustace,2018-07-10 02:20:27+00:00,Fix Container.__contains__(),False,5,5,0,0.5,1.0,1.0,2618,1603,1693,256,2.104651162790698,66.53960621507633,26.36842105263158,42.78947368421053,260.4678083750856,2.1052070535816667,1715.2839793496164,95.29355440831203,0.08682260279169522
9,9013219567c9610287c2fdc41970cd891a29d154,Sébastien Eustace,2018-07-10 02:34:22+00:00,Fix parsing of tables with same start,False,14,12,2,,,,2620,1603,1695,256,2.104651162790698,66.53786690715192,26.42105263157895,42.94736842105263,261.7741183805897,2.1067751449330396,1729.8732101527573,96.10406723070875,0.08725803946019656
10,f44754393a695ab3ea00c79bd7116c2a5ed243cb,Sébastien Eustace,2018-07-10 02:34:48+00:00,Fix Container.__set_item__() for None key,False,2,1,1,,,,2620,1603,1695,256,2.108527131782946,66.51771636827904,26.57894736842105,43.26315789473684,263.96504225454214,2.108748829143566,1742.751816818066,96.81954537878144,0.08798834741818072
11,b59e84468163fbf73d45db4d178dda85263e01a0,Sébastien Eustace,2018-07-10 05:17:00+00:00,Fix handling of sub tables without super tables,False,80,76,4,0.9607843137254902,0.49019607843137253,0.803921568627451,2692,1647,1747,258,2.16988416988417,65.94634632758164,28.0,45.63157894736842,281.2953393285891,2.0934383649137747,1819.5102874377412,101.08390485765227,0.09376511310952969
12,d44cb48f334ae3c6bd2744f2ce62e1467517c553,Sébastien Eustace,2018-07-10 17:18:43+00:00,Fix handling of whitespace in inline tables,False,92,85,7,0.3333333333333333,0.3333333333333333,0.6666666666666666,2709,1656,1760,258,2.193050193050193,65.86857183352845,28.36842105263158,46.473684210526315,287.867714910635,2.170211893369788,1952.4507105470122,108.46948391927847,0.09595590497021167
13,4254a5bc1b224d4f2b35aa1d549f9de166bf31c1,Sébastien Eustace,2018-07-10 17:29:00+00:00,Fix tests,False,4,2,2,,,,2710,1657,1761,258,2.193050193050193,65.8607178087439,28.36842105263158,46.473684210526315,287.867714910635,2.170211893369788,1952.4507105470122,108.46948391927847,0.09595590497021167
