ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,a570ce32e50977fd974a4caf8b1e01c1e86f954a,Alex Grönholm,2015-12-29 01:26:46+00:00,First commit,False,870,870,0,0.7418032786885246,0.7807377049180327,0.6659836065573771,712,407,503,11,2.0172413793103448,56.117411237731424,42.333333333333336,63.333333333333336,379.4019241055017,2.2333333333333334,1338.135844730857,74.3408802628254,0.12646730803516723
1,baacef9030c430532fbfdac26b1d3ee374f32fda,Alex Grönholm,2016-01-01 21:06:59+00:00,Fixed type checking being done to a wrapper instead of the wrapped callable,False,36,34,2,0.9375,0.9375,0.9375,732,421,517,12,2.016949152542373,55.79233429718288,43.0,64.33333333333333,386.77548160711257,2.2333333333333334,1341.8226234816623,74.54570130453679,0.12892516053570416
2,9394c1ef0a985df4de9cddcf64cfcaa28dc8d6ac,Alex Grönholm,2016-01-01 23:31:22+00:00,Fixed types of default arguments not being valid for the argument,False,27,27,0,0.5555555555555556,0.5555555555555556,0.3333333333333333,753,431,529,13,2.05,57.78851130602086,43.0,65.33333333333333,392.819875726471,2.3000000000000003,1420.8027066412797,78.93348370229332,0.13093995857549032
3,5bfe1f667a00e20226827318a0566b8eba7df871,Alex Grönholm,2016-01-02 01:05:21+00:00,Eliminated the need to pass the current function reference to check_argument_types(),False,106,60,46,0.0,0.0,0.0,760,437,535,14,2.1,57.52152747287777,43.0,65.33333333333333,392.819875726471,2.3000000000000003,1420.8027066412797,78.93348370229332,0.13093995857549032
4,294022750c7e955ddbe9f6c51eeccc41ca97be08,Alex Grönholm,2016-01-02 01:41:44+00:00,Finished incomplete docstring on check_type(),False,3,2,1,,,,761,437,535,14,2.1,57.575801671166865,43.0,65.33333333333333,392.819875726471,2.3000000000000003,1420.8027066412797,78.93348370229332,0.13093995857549032
5,b6056c00e07b9bf7f697fd31884dfe0696f2f9f8,Alex Grönholm,2016-01-03 01:20:03+00:00,Fixed argument count checking with bound methods,False,28,23,5,0.875,0.875,0.875,773,444,541,15,2.096774193548387,57.33438944953685,43.666666666666664,66.33333333333333,400.3860313526761,2.5238095238095237,1613.6439115780838,89.6468839765602,0.13346201045089204
6,6b182cd5877426c0a37af11d1ae5838cca8291c2,Alex Grönholm,2016-05-08 07:12:04+00:00,Fixed TypeError when checking builtin callables against parametrized Callables,False,26,22,4,0.7142857142857143,0.7142857142857143,0.7142857142857143,785,452,547,15,2.0952380952380953,57.81713664827487,43.666666666666664,66.33333333333333,400.3860313526761,2.5238095238095237,1613.6439115780838,89.6468839765602,0.13346201045089204
7,c0bd8a4e32677eef65236c1a95f121b8a78de910,Alex Grönholm,2016-05-08 07:12:04+00:00,"Code cleanups

Better PEP 8 compliance and less confusing use of return statements",False,34,19,15,0.058823529411764705,0.058823529411764705,0.0,789,455,550,15,2.0952380952380953,57.77923796946277,43.666666666666664,66.33333333333333,400.3860313526761,2.5238095238095237,1613.6439115780838,89.6468839765602,0.13346201045089204
8,680e77be5581efdabb4a50fc8808fe2fb20295e2,Alex Grönholm,2016-05-08 07:18:31+00:00,Fixed Flake8 errors,False,6,4,2,,,,790,455,550,15,2.0952380952380953,57.9815168173537,43.666666666666664,66.33333333333333,400.3860313526761,2.5238095238095237,1613.6439115780838,89.6468839765602,0.13346201045089204
9,e98db7a881a533c4b70c4455b8ebf3826dabb7cb,Alex Grönholm,2016-05-08 23:59:24+00:00,Fixed TypeError when trying to check types of a garbage collected function,False,8,8,0,0.0,0.0,0.0,792,457,552,15,2.111111111111111,57.87761622341112,43.666666666666664,66.33333333333333,400.3860313526761,2.5238095238095237,1613.6439115780838,89.6468839765602,0.13346201045089204
