ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,f8f4fa322cdd38848b6c0cf420f711c5a7b0e5b1,Ivan Levkivskyi,2017-04-29 15:51:16+00:00,Add initial work,False,481,481,0,0.9135135135135135,0.745945945945946,0.972972972972973,473,202,241,3,2.2333333333333334,65.16407150976484,21.0,29.666666666666668,170.9158262414987,1.6282051282051284,743.2431914983854,41.29128841657696,0.05697194208049957
1,1264167f74cc3cf5d3a9fc08d65c410c7ac291bf,Ivan Levkivskyi,2017-04-29 16:41:02+00:00,Update setup and test config,False,7,3,4,,,,473,202,241,3,2.2333333333333334,65.16407150976484,21.0,29.666666666666668,170.9158262414987,1.6282051282051284,743.2431914983854,41.29128841657696,0.05697194208049957
2,dcd315884de953613e72685cd50cf16cf9100074,Ivan Levkivskyi,2017-05-07 11:12:19+00:00,Some updates to README,False,80,50,30,,,,474,202,242,3,2.2333333333333334,65.16407150976484,21.0,29.666666666666668,170.9158262414987,1.6282051282051284,743.2431914983854,41.29128841657696,0.05697194208049957
3,c323cfb20c32b0a1dd042fa3875f1ab7b4d168fe,Ivan Levkivskyi,2017-05-07 11:29:36+00:00,Prepare some stepts for release,False,11,6,5,,,,474,202,242,3,2.2333333333333334,65.16407150976484,21.0,29.666666666666668,170.9158262414987,1.6282051282051284,743.2431914983854,41.29128841657696,0.05697194208049957
4,1a8ea8655743562231decf1eee3fbd95ab0bc7bb,Ivan Levkivskyi,2017-05-07 11:53:17+00:00,Add typing as a requirement to setup.py,False,8,7,1,,,,480,206,247,3,2.2333333333333334,60.38967993756142,22.0,30.666666666666668,172.50078874221984,1.794871794871795,744.0356727487459,41.335315152708105,0.057500262914073286
5,016b3bd3b2f352c110549a1dbaf41586bd4f24dd,Ivan Levkivskyi,2017-05-07 12:00:01+00:00,Use setuptools instead of distutils,False,2,1,1,,,,480,206,247,3,2.2333333333333334,60.38967993756142,22.0,30.666666666666668,172.50078874221984,1.794871794871795,744.0356727487459,41.335315152708105,0.057500262914073286
6,12ad9f6bca2d096fb659920c311ba1466f88b4b1,Ivan Levkivskyi,2017-10-08 16:36:12+00:00,Bump version and define _gorg,False,14,12,2,1.0,1.0,1.0,490,214,254,3,2.2580645161290325,60.84629621560069,22.666666666666668,31.666666666666668,179.8110822095863,1.7901234567901234,773.5722421511282,42.976235675062675,0.05993702740319543
7,a67f086ff2d12532cf20ce88f0b1e9e3aa2ea6a6,Ivan Levkivskyi,2018-03-19 22:32:48+00:00,Support Python 3.7,False,61,44,17,0.8571428571428571,0.21428571428571427,1.0,517,249,288,4,3.032258064516129,60.76708177271113,35.333333333333336,51.666666666666664,333.1481157602537,1.9652014652014653,1617.0276436331442,89.83486909073024,0.11104937192008456
8,d11425bdade02ac383fa941ef2fdaad57fef99ab,Ivan Levkivskyi,2018-03-19 22:33:40+00:00,"Revert ""Support Python 3.7""

This reverts commit a67f086ff2d12532cf20ce88f0b1e9e3aa2ea6a6.",False,61,17,44,0.14285714285714285,0.7857142857142857,0.0,490,214,254,3,2.2580645161290325,60.84629621560069,22.666666666666668,31.666666666666668,179.8110822095863,1.7901234567901234,773.5722421511282,42.976235675062675,0.05993702740319543
9,7aa7bb5a89ebd584f3885d993b417212592135c0,Ivan Levkivskyi,2018-03-20 22:22:42+00:00,"Support Python 3.7 (#18)

This follows existing semantics as closely as possible.
But there are still few differences due to a changes in semantics
in typing.py.",False,109,84,25,0.8163265306122449,0.0,1.0,549,264,317,5,3.46875,60.611540033683745,46.0,69.33333333333333,471.832962111906,2.3627450980392157,2604.9281173062463,144.7182287392359,0.157277654037302
10,c348f4d27a95078358186607ecf7ba7874403448,Ivan Levkivskyi,2018-05-07 21:02:26+00:00,"Add (very) simple support for TypedDict keys (#21)

Fixes #19

Unfortunately, the current API doesn't allow reliably infer
whether a given key is required or not.",False,55,53,2,1.0,1.0,1.0,596,287,342,5,3.3529411764705883,58.99118256124782,46.666666666666664,70.33333333333333,475.6630371104637,2.3627450980392157,2608.758192304804,144.93101068360022,0.1585543457034879
11,6eb45966c014cabbbce6c202bcb993623edebe6a,Ivan Levkivskyi,2018-05-07 21:15:59+00:00,Bump version to 0.3.0 (#22),False,2,1,1,,,,596,287,342,5,3.3529411764705883,58.99118256124782,46.666666666666664,70.33333333333333,475.6630371104637,2.3627450980392157,2608.758192304804,144.93101068360022,0.1585543457034879
12,471a8dab0d42e08249606dbb2b0867783c889ac6,Ivan Levkivskyi,2018-05-07 21:43:24+00:00,Fix missing requirements (#23),False,4,2,2,,,,596,287,342,5,3.3529411764705883,58.99118256124782,46.666666666666664,70.33333333333333,475.6630371104637,2.3627450980392157,2608.758192304804,144.93101068360022,0.1585543457034879
13,168fa6f7c5c55f720ce6282727211cf4cf6368f6,Elvis Pranskevichus,2018-07-21 16:31:27+00:00,"Use environment marker for typing dependency instead of runtime (#25)

Python version constraints *must* be specified as environment markers.
Runtime setup.py checks will not be reflected in the metadata, resulting
in incorrect hard dependency on typing in dist-info and in wheels.",False,7,4,3,,,,597,285,343,5,3.3529411764705883,63.76557413345122,45.666666666666664,69.33333333333333,474.07807460974254,2.1960784313725488,2607.9657110544435,144.88698394746908,0.15802602486991418
14,1d8152bdb984ffa83adc3a0ef4b3f2b5fe0a1ffd,smarie,2018-09-25 01:33:47+00:00,"Add is_optional_type() and type variable helpers (#26)

Fixes #14",False,100,96,4,0.56,1.0,0.98,687,327,394,17,3.125,64.71432177184832,51.0,76.33333333333333,520.009663548776,2.7566153846153845,3067.013005942017,170.3896114412232,0.17333655451625865
15,5ddc8448f96bc8002af91dad295ede64ae3f3589,Ivan Levkivskyi,2019-02-03 14:05:35+00:00,Bump version to 0.4.0 and add Python 3.7 to supported versions (#29),False,3,2,1,,,,688,327,395,17,3.125,64.71432177184832,51.0,76.33333333333333,520.009663548776,2.7566153846153845,3067.013005942017,170.3896114412232,0.17333655451625865
16,fd81278cc440b6003f8298bcb22d5bc0f82ee3cd,mattHawthorn,2019-04-02 17:23:47+00:00,"made _eval_args recurse in the instance that any of the args is a Callable, and added test for this case (#32)",False,9,6,3,0.0,0.6666666666666666,1.0,691,330,398,17,3.125,64.66133831834925,51.0,76.33333333333333,520.009663548776,2.7566153846153845,3067.013005942017,170.3896114412232,0.17333655451625865
17,3b0859a0a192f4d464babb3e9c724e7fb366bca7,Ivan Levkivskyi,2019-07-03 08:17:51+00:00,Fix flake8 (#41),False,53,29,24,1.0,0.0,0.0,692,332,399,19,3.125,64.68978194854752,51.0,76.33333333333333,520.009663548776,2.7566153846153845,3067.013005942017,170.3896114412232,0.17333655451625865
18,526680203bc8fea5d24c2dd94c9bbcbf4f6b8bc3,Benjamin Woodruff,2019-07-03 08:32:02+00:00,"Support Literal (PEP 586) (#39)

Adds an `is_literal_type` API, and fixes `get_args` for literal types on 3.6 and 2.7 (provided by `typing_extensions`).

[This feature is in 3.8](https://www.python.org/dev/peps/pep-0586/), but it's available as a backport to 3.7 and below as part of [`typing_extensions`](https://github.com/python/typing/tree/master/typing_extensions), so this adds `typing_extensions` as a dependency.",False,48,43,5,0.9166666666666666,0.9166666666666666,1.0,728,351,430,22,3.142857142857143,64.14697768144711,54.666666666666664,82.33333333333333,570.9875565330918,2.7534879336349927,3373.705042786753,187.4280579325974,0.19032918551103062
19,08587dd8620810c7a542385996c3db3d70ae0558,Benjamin Woodruff,2019-07-03 08:48:52+00:00,"Fix get_args for unparameterized ClassVar on <3.7 (#40)

In 3.7, `get_args(ClassVar)` (no parameter specified) would return an
empty tuple. In 3.6 it would return `(None,)` because `__type__` is
`None` in that case.

This copies the logic that already existed in `get_last_args` to
normalize that case to an empty tuple.",False,6,5,1,1.0,1.0,1.0,732,353,432,23,3.1666666666666665,64.177353700658,55.0,83.33333333333333,578.9338467984288,2.7653939734231705,3441.886451994194,191.21591399967744,0.19297794893280962
20,45efedf7ea3c0debbed3a38ba0b43aefa346ff9a,Ivan Levkivskyi,2019-10-13 18:31:05+00:00,Bump version to 0.5.0 (#46),False,2,1,1,,,,732,353,432,23,3.1666666666666665,64.177353700658,55.0,83.33333333333333,578.9338467984288,2.7653939734231705,3441.886451994194,191.21591399967744,0.19297794893280962
