ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,58248cbc393734a22862dd908a8e0fee48e125e5,Vanya Sergeev,2013-09-29 09:09:31+00:00,initial commit with test vectors,False,320,320,0,0.7978723404255319,0.7978723404255319,0.9680851063829787,319,126,270,53,2.1724137931034484,60.756963458313386,109.5,233.5,1750.699520486779,5.260416666666667,13111.431125317093,728.4128402953941,0.5835665068289263
1,0b4819e0ac7645de51e93175b4b17611253fb527,Vanya Sergeev,2013-09-29 09:11:09+00:00,add pack,False,127,109,18,0.43023255813953487,0.43023255813953487,1.0,410,212,356,53,3.5172413793103448,44.96652605301479,216.5,447.0,3466.5729459308473,8.958333333333334,31123.792861474896,1729.099603415272,1.1555243153102825
2,90310359fee39130594d9d53e83350a02a043783,Vanya Sergeev,2013-09-29 11:50:32+00:00,add unpack and validate,False,388,378,10,0.67578125,0.51171875,1.0,777,507,663,79,3.8,32.96352095057854,324.0,665.5,5607.888083304582,9.98942959712804,61266.93450196758,3403.7185834426436,1.8692960277681943
3,6ed894ee06d76f43d6db7ea6afaaaff2345bae0c,Vanya Sergeev,2013-09-29 13:40:05+00:00,support both python 2 and 3,False,591,327,264,0.11538461538461539,0.0,1.0,840,537,697,97,3.912280701754386,32.67597712680357,328.0,662.5,5598.087892886574,9.38153153153153,60511.60673127079,3361.7559295150436,1.8660292976288582
4,7f0079e9ecbd889a7afb97b88ca90060e21b2ec7,Vanya Sergeev,2013-09-29 13:40:51+00:00,remove validate method from master,False,190,0,190,0.1597222222222222,0.4513888888888889,0.0,650,386,538,91,3.761904761904762,41.57068321273807,263.0,536.5,4336.463948107423,9.154312995630361,43709.601744004234,2428.311208000235,1.4454879827024745
5,736ee98064b6d9795099cf7ad2eda1d480e58915,Vanya Sergeev,2013-09-29 14:09:19+00:00,add readme and license,False,34,31,3,,,,651,386,538,92,3.761904761904762,41.65764185257111,263.0,536.5,4336.463948107423,9.154312995630361,43709.601744004234,2428.311208000235,1.4454879827024745
6,caaf0cdf59f131736f7234fc356bba712d4958a0,Vanya Sergeev,2013-09-29 14:20:19+00:00,minor refactor,False,21,11,10,1.0,1.0,0.0,652,385,537,92,3.761904761904762,41.68361859908566,263.0,536.5,4336.463948107423,9.154312995630361,43709.601744004234,2428.311208000235,1.4454879827024745
7,496aaa5488292df5aa9836ebf85fda9db6ec5b23,Eugene Ma,2013-09-29 20:59:04+00:00,Use pytest.raises,False,14,3,11,0.0,0.0,0.0,644,380,530,92,3.7142857142857144,42.79826205528682,263.0,536.5,4336.463948107423,9.154312995630361,43709.601744004234,2428.311208000235,1.4454879827024745
8,72c312c97959b14007c041d1bee67a2f3d66627f,Vanya Sergeev,2013-09-29 23:53:12+00:00,add __str__ to Ext class,False,34,24,10,1.0,1.0,1.0,658,394,544,92,3.744186046511628,42.02143859662979,271.0,553.0,4498.742244761131,9.161050392052571,45710.73832167778,2539.4854623154324,1.4995807482537105
9,a62a2c291dfa81d152533af6e8ccf7adcf597209,Vanya Sergeev,2013-09-30 00:42:47+00:00,fix strings in tests; move module init to function,False,184,96,88,0.0,0.0,1.0,666,398,548,95,3.977272727272727,42.14495651123298,271.0,553.0,4498.742244761131,9.161050392052571,45710.73832167778,2539.4854623154324,1.4995807482537105
10,ba0b7eee9f0d33c1fcd76c8eac7e7d00aa65bd06,Vanya Sergeev,2013-09-30 05:09:23+00:00,add typeerror throw on invalid bytes arg to unpackb,False,39,28,11,0.5384615384615384,0.5384615384615384,1.0,683,411,561,97,3.9555555555555557,41.86460424009341,272.0,555.0,4518.572825412134,9.15223399355136,45897.05106290104,2549.8361701611684,1.5061909418040447
11,605ef849e0abe7fc116c8af53b752b66bed65e9a,Vanya Sergeev,2013-09-30 06:21:17+00:00,reformatting and clean up,False,55,32,23,,,,691,411,561,102,3.9555555555555557,42.27922893991776,272.0,555.0,4518.572825412134,9.15223399355136,45897.05106290104,2549.8361701611684,1.5061909418040447
12,2f64fd0a55b6f63162966483a548687a83f37d51,Vanya Sergeev,2013-10-19 20:33:23+00:00,add raw type compatibility mode,False,156,120,36,0.3333333333333333,0.35555555555555557,1.0,775,460,628,108,4.1875,36.78041071824795,304.0,643.5,5316.004618365927,9.831009426551454,54974.142287202325,3054.119015955685,1.7720015394553088
