ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,c9bb9dd345ba74bab551cde828cde57e45a77609,John Vandenberg,2015-10-20 20:24:16+00:00,Sync fetch_gae_sdk.py with oauth2client,False,22,12,10,1.0,1.0,0.0,12347,6722,7575,905,2.1628189550425274,65.55647031698598,27.419354838709676,43.725806451612904,245.6284699564069,2.7191807339998584,1284.5605464232226,71.36447480129016,0.08187615665213559
1,fa1fd647c83dbb217d020a8e157dd5a0e4327b1a,Brian Candler,2015-10-28 14:08:49+00:00,"Catch exceptions on connection close

Typically caused by remote IIS server dropping HTTPS keepalive
connections without shutting down properly

Fixes #728",False,5,4,1,1.0,1.0,1.0,12350,6725,7578,905,2.164034021871203,65.5496581047803,27.419354838709676,43.725806451612904,245.6284699564069,2.7191807339998584,1284.5605464232226,71.36447480129016,0.08187615665213559
2,63c8fe9c693a76cda7c15bf222515804cf9579eb,steveoh,2015-10-29 16:15:45+00:00,return named error,False,4,2,2,,,,12350,6725,7578,905,2.164034021871203,65.5496581047803,27.419354838709676,43.725806451612904,245.6284699564069,2.7191807339998584,1284.5605464232226,71.36447480129016,0.08187615665213559
3,cb7910785f673669507fdbcb303d3d21be035f84,John Vandenberg,2015-11-02 10:27:37+00:00,"Fix flake8 violations

Add tox rule to prevent regressions.",False,210,137,73,0.0,0.3333333333333333,0.16666666666666666,12398,6726,7616,909,2.1628189550425274,65.5566748652579,27.419354838709676,43.693548387096776,245.43870727739522,2.7278050224249055,1287.7648008834399,71.5424889379689,0.08181290242579836
4,9db477a03ae6e38b9f8c0964ec5aa1762c500c87,Cory Benfield,2015-11-05 11:03:12+00:00,Failing test for broken read sockets,False,67,67,0,0.0,1.0,1.0,12468,6757,7666,919,2.162621359223301,65.55046527569009,27.451612903225808,43.75806451612903,245.93675711276137,2.727598492133796,1289.3123118994604,71.62846177219224,0.08197891903758708
5,dafe84a9e8a65ebd09103c82a7596a4df0e08990,Cory Benfield,2015-11-05 11:03:19+00:00,Ensure that we don't invalidate hanging sockets,False,6,6,0,0.0,0.0,1.0,12474,6759,7668,922,2.1638349514563107,65.54677566421483,27.483870967741936,43.806451612903224,246.3269393582378,2.727104463328892,1292.044002173545,71.78022234297472,0.08210897978607923
6,4bd2f2aeec323df1c878f9f1aec69ce9d6d01fcd,Ian Cordasco,2015-11-05 22:36:52+00:00,"Add absolute_import feature from the future

This should prevent local files or modules from shadowing standard
library modules and will provide an all around better experience. This
does not, however, help us in the case where someone uses a library
like pies (which installs broken standard library shims for Python 2/
Python 3 compatibility).

Related to: https://github.com/kennethreitz/requests/issues/2771",False,22,21,1,,,,12494,6780,7689,922,2.1638349514563107,65.52914429942035,27.483870967741936,43.806451612903224,246.3269393582378,2.727104463328892,1292.044002173545,71.78022234297472,0.08210897978607923
7,758d2b5086c96679bba9fd83dd8e9faf71b45e51,matejcik,2015-11-10 16:25:31+00:00,fix race condition around ready_event (hopefully),False,23,15,8,0.8,1.0,1.0,12501,6786,7695,922,2.1624242424242426,65.51865753670954,27.483870967741936,43.806451612903224,246.3269393582378,2.727104463328892,1292.044002173545,71.78022234297472,0.08210897978607923
8,098cf7aa2c83204ed3b6f2dd9b6c381c9acdcc73,matejcik,2015-11-13 10:36:32+00:00,convert `wait_for_socket` to a module helper function,False,30,15,15,,,,12501,6785,7694,922,2.1624242424242426,65.52814264090959,27.483870967741936,43.806451612903224,246.3269393582378,2.727104463328892,1292.044002173545,71.78022234297472,0.08210897978607923
9,69a8addd8ffd8a237976dbf4b9ddc9f36ea466e8,Jon Wayne Parrott,2015-11-13 22:00:20+00:00,Fixing some deprecation warnings and updating the names of the app engine env detection functions.,False,20,10,10,,,,12494,6780,7689,922,2.1638349514563107,65.52894254766504,27.5,43.806451612903224,246.35783542522955,2.725595924429461,1291.4874252482812,71.74930140268228,0.08211927847507647
