ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,50bf948a7799e78aea1faa6aaa0453d2d97411c4,Konsta Vesterinen,2013-10-17 08:41:28+00:00,Added setup.py,False,62,62,0,1.0,1.0,1.0,62,18,44,0,1.25,86.14132735116272,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
1,845c4e99a289e2e1d5504cbd89f79a7b0853884d,Konsta Vesterinen,2013-10-17 08:41:41+00:00,Added tests,False,40,40,0,1.0,1.0,1.0,102,26,79,2,1.1666666666666667,88.91405847162915,2.5,2.5,3.3774437510817346,0.5,1.6887218755408673,0.09381788197449263,0.0011258145836939115
2,6778906c251e8f10b51bf589619d50af34f94573,Konsta Vesterinen,2013-10-17 08:41:54+00:00,Added simple is_email validator,False,54,54,0,1.0,0.0,1.0,156,46,113,7,2.142857142857143,87.50573984222825,7.666666666666667,9.333333333333334,34.22105417844555,1.5,113.01880212239597,6.27882234013311,0.01140701805948185
3,eb2296624991b51a574fcb51833587e6cad84f40,Konsta Vesterinen,2013-10-21 07:54:53+00:00,Tests for length validator,False,36,36,0,1.0,1.0,0.0,192,58,142,8,1.8,90.62930488167119,5.75,7.0,25.665790633834163,1.125,84.76410159179697,4.709116755099832,0.008555263544611388
4,82a87d61ddbd888f176b3aad85f9db920843d057,Konsta Vesterinen,2013-10-21 07:55:07+00:00,Added tests for range,False,32,32,0,1.0,1.0,0.0,224,71,167,9,1.6153846153846154,92.50344390533695,4.6,5.6,20.53263250706733,0.9,67.81128127343757,3.767293404079866,0.00684421083568911
5,907cf118a43ee21ca68f29fea7b42ce95c5b82e5,Konsta Vesterinen,2013-10-21 07:55:20+00:00,Tests for extremes,False,44,44,0,1.0,1.0,1.0,268,92,198,10,1.4210526315789473,87.84296162316703,6.833333333333333,11.5,45.60501459907857,1.8333333333333333,241.72356987526072,13.429087215292261,0.015201671533026193
6,5573461faf7b1fbd848e5dc8b30b5b9b54ce25f7,Konsta Vesterinen,2013-10-21 07:55:33+00:00,Moved email tests,False,40,40,0,1.0,1.0,1.0,308,100,233,12,1.380952380952381,89.57968139128603,5.857142857142857,9.857142857142858,39.09001251349592,1.5714285714285714,207.19163132165204,11.510646184536224,0.013030004171165307
7,482d6683d4a6c9d89d85b94adbadc26dcac31f7b,Konsta Vesterinen,2013-10-21 07:55:49+00:00,Basic validation structure added,False,256,215,41,0.7375,0.5125,0.625,482,194,343,12,2.1142857142857143,80.2792355242365,9.9,16.1,74.08583281127035,1.9583333333333333,453.1534023634187,25.17518902018993,0.024695277603756782
8,a1535089eda874dc0ca325328b7ba73c9fda77d5,Konsta Vesterinen,2013-10-21 08:10:07+00:00,Added tests for ipv4 and ipv6 validators,False,119,78,41,1.0,1.0,1.0,519,203,342,19,2.054054054054054,86.16697748692638,8.083333333333334,13.25,61.57152734272529,1.5902777777777777,377.5445019695156,20.97469455386198,0.020523842447575096
9,b60a6dc51b2b657ede14f61ef62861d918ce6bde,Konsta Vesterinen,2013-10-21 08:10:32+00:00,Removed commented code,False,18,0,18,,,,501,203,342,12,2.054054054054054,86.16697748692638,8.083333333333334,13.25,61.57152734272529,1.5902777777777777,377.5445019695156,20.97469455386198,0.020523842447575096
10,60432dd39ddb9dcb975477f702bed8dffaff48cb,Konsta Vesterinen,2013-10-21 08:13:42+00:00,Added doc blocks,False,25,24,1,,,,524,204,342,12,2.054054054054054,86.62817658444102,8.083333333333334,13.25,61.57152734272529,1.5902777777777777,377.5445019695156,20.97469455386198,0.020523842447575096
11,c0d2e77cebce34477462a4e6b10aa0a14ae61f25,Konsta Vesterinen,2013-10-21 08:16:35+00:00,Moved ip address validators into separate file,False,150,77,73,,,,528,206,346,12,2.054054054054054,84.66736354001816,7.6923076923076925,12.23076923076923,51.38943269467271,1.6594405594405595,246.42133502893265,13.690074168274037,0.017129810898224237
12,40c249de3fd0571ab3a9180e7950d1f163fd1fae,Konsta Vesterinen,2013-10-21 08:59:31+00:00,Added mac address validator,False,27,27,0,1.0,1.0,1.0,555,213,352,12,2.026315789473684,85.76255185858828,7.142857142857143,11.357142857142858,47.71875893076752,1.540909090909091,228.8198110982946,12.712211727683036,0.015906252976922507
13,bfdcfc4b3321d4bc44447dc72383db432976f887,Konsta Vesterinen,2013-10-21 08:59:48+00:00,Added url validator,False,18,18,0,1.0,1.0,1.0,573,223,365,12,2.0256410256410255,86.71171506801574,6.666666666666667,10.6,44.537508335383016,1.4381818181818182,213.56515702507494,11.864730945837499,0.01484583611179434
14,c0cfea1b6fb5ba984265fd8c0a8280ec1e6dc00f,Konsta Vesterinen,2013-10-21 09:00:01+00:00,Added uuid validator,False,27,27,0,1.0,1.0,1.0,600,230,371,12,2.0,87.54223287626475,6.25,9.9375,41.75391406442158,1.3482954545454546,200.21733471100777,11.123185261722655,0.013917971354807194
15,479be678714633d8939401aa41d0220bfe9d8192,Konsta Vesterinen,2013-10-21 09:00:21+00:00,Added validators to main import,False,10,8,2,,,,606,233,377,12,2.0,87.46316823589495,6.25,9.9375,41.75391406442158,1.3482954545454546,200.21733471100777,11.123185261722655,0.013917971354807194
16,454be0893865e819c007ecf0c6c61a40d7a371b4,Konsta Vesterinen,2013-10-21 09:00:43+00:00,Added tests for mac address,False,20,20,0,1.0,1.0,1.0,626,241,392,13,1.9523809523809523,88.20062892790114,5.882352941176471,9.352941176470589,39.29780147239678,1.2689839572192514,188.43984443388968,10.468880246327204,0.013099267157465594
17,3404101262f25ec9b0e4d381051ae831a2b0d1ad,Konsta Vesterinen,2013-10-21 09:00:56+00:00,Added tests for url validator,False,28,28,0,1.0,1.0,1.0,654,249,415,14,1.9090909090909092,88.85614954301774,5.555555555555555,8.833333333333334,37.114590279485846,1.1984848484848485,177.97096418756246,9.887275788197917,0.012371530093161949
18,72522b3f2b1abc289d92678fea14677f8e6ac73e,Konsta Vesterinen,2013-10-21 09:01:09+00:00,Added tests for uuid validator,False,20,20,0,1.0,1.0,1.0,674,257,430,15,1.8695652173913044,89.44266798812207,5.2631578947368425,8.368421052631579,35.161190791091855,1.1354066985645934,168.60407133558547,9.366892851976973,0.011720396930363952
19,57b23bbab70905ef1b46328457fbd930e00cf08f,Konsta Vesterinen,2013-10-21 09:04:23+00:00,Added doc block,False,25,25,0,,,,699,258,430,15,1.8695652173913044,89.44266798812207,5.2631578947368425,8.368421052631579,35.161190791091855,1.1354066985645934,168.60407133558547,9.366892851976973,0.011720396930363952
20,4fc20e0544ab53f27ecb98e4e682ebeb450ff462,Konsta Vesterinen,2013-10-21 09:04:39+00:00,Added WTForms references,False,14,13,1,,,,711,258,430,15,1.8695652173913044,89.42187350488757,5.2631578947368425,8.368421052631579,35.161190791091855,1.1354066985645934,168.60407133558547,9.366892851976973,0.011720396930363952
21,5c8c751da3ca0caf70e06184527c3e0cd31ae0e5,Konsta Vesterinen,2013-10-21 09:22:39+00:00,Added doc blocks,False,94,59,35,0.0,0.0,1.0,735,247,407,14,1.930232558139535,90.15129207653982,5.555555555555555,8.833333333333334,37.114590279485846,1.1984848484848485,177.97096418756246,9.887275788197917,0.012371530093161949
22,70dde45de23ef05bd9d49f1cde0cd3571eb99fd2,Konsta Vesterinen,2013-10-21 09:22:55+00:00,Moved number range tests,False,32,32,0,1.0,1.0,0.0,767,260,432,15,1.8695652173913044,90.66964512514298,5.2631578947368425,8.368421052631579,35.161190791091855,1.1354066985645934,168.60407133558547,9.366892851976973,0.011720396930363952
23,cf780ca97b1237d7c0d089517670b706f629929e,Konsta Vesterinen,2013-10-21 09:23:13+00:00,Added versionadded to doc blocks,False,7,7,0,,,,774,260,432,15,1.8695652173913044,90.51689662480935,5.2631578947368425,8.368421052631579,35.161190791091855,1.1354066985645934,168.60407133558547,9.366892851976973,0.011720396930363952
24,8295d99c0e72d263d3e3b8ec5b4ffcd30d12502a,Konsta Vesterinen,2013-10-21 09:28:41+00:00,Fixed py3 issue with arg inspection,False,6,4,2,1.0,1.0,0.0,776,260,434,15,1.8695652173913044,90.62250487077377,5.157894736842105,8.210526315789474,34.59018032256428,1.1354066985645934,168.0330608670579,9.335170048169884,0.011530060107521426
25,c2f0fc3d46cdeb0b6af2fd31b815746d1b090274,Konsta Vesterinen,2013-10-21 09:32:15+00:00,Added six to requirements,False,5,3,2,,,,777,261,435,15,1.8695652173913044,90.60368697870474,5.157894736842105,8.210526315789474,34.59018032256428,1.1354066985645934,168.0330608670579,9.335170048169884,0.011530060107521426
26,d48144086f8a372c5cad77c4897dc989b88da59b,Konsta Vesterinen,2013-10-21 09:42:38+00:00,Fixed six.zip ref,False,5,4,1,,,,780,262,436,15,1.8695652173913044,90.60719018247127,5.157894736842105,8.210526315789474,34.59018032256428,1.1354066985645934,168.0330608670579,9.335170048169884,0.011530060107521426
27,e19499e6d40177f988c9666ecf8ad083914d35f9,Konsta Vesterinen,2013-10-21 10:20:24+00:00,Added decorator to requirements,False,34,21,13,0.0,0.0,0.0,788,260,437,15,1.891304347826087,90.61152768060428,5.157894736842105,8.210526315789474,34.59018032256428,1.1354066985645934,168.0330608670579,9.335170048169884,0.011530060107521426
28,ff6e237d31c3b2910a5841900eef02de2f6ccbc2,Konsta Vesterinen,2013-10-21 10:21:50+00:00,Fixed compatibility issue with py3,False,2,1,1,,,,788,260,437,15,1.891304347826087,90.61152768060428,5.157894736842105,8.210526315789474,34.59018032256428,1.1354066985645934,168.0330608670579,9.335170048169884,0.011530060107521426
29,b81a6c9af549f1b0ff2203b4850ab1f990a5861b,Konsta Vesterinen,2013-10-21 10:24:31+00:00,Fixed py3 compatibility,False,2,1,1,,,,788,260,437,15,1.891304347826087,90.61152768060428,5.157894736842105,8.210526315789474,34.59018032256428,1.1354066985645934,168.0330608670579,9.335170048169884,0.011530060107521426
30,4e73da9e4e267a9ac56d8f98b902eaa97ee8ccac,Konsta Vesterinen,2013-10-21 10:30:19+00:00,Changed defaults,False,8,4,4,,,,788,260,437,15,1.934782608695652,90.52671428252025,5.526315789473684,8.842105263157896,38.32895537869631,1.218092105263158,202.33464718681176,11.240813732600653,0.012776318459565436
31,fc847e9213e299235da87eeb8264b25b0beba81c,Konsta Vesterinen,2013-10-21 10:36:35+00:00,Added ordereddict to py2.6 requirements,False,4,3,1,,,,790,260,439,15,1.934782608695652,90.14892973418183,5.947368421052632,9.31578947368421,40.26360232193231,1.2707236842105263,205.48687483862173,11.41593749103454,0.013421200773977437
32,05671e122ed4697e2c917121dad017394a71dc9c,Konsta Vesterinen,2013-10-21 10:43:29+00:00,Added docs,False,744,744,0,,,,1063,283,488,175,1.934782608695652,90.64148324747273,5.65,8.85,38.2504222058357,1.2071875,195.21253109669064,10.845140616482814,0.012750140735278564
33,52d51c8315747f5618033bd76d821c01c9f0dd1c,Konsta Vesterinen,2013-10-21 11:05:28+00:00,Added tests for ValidationFailure,False,52,48,4,1.0,1.0,1.0,1107,307,520,175,1.8214285714285714,88.80455068755617,6.285714285714286,9.619047619047619,41.20946684010843,1.2211309523809524,191.2686181647322,10.626034342485122,0.01373648894670281
34,f3c3400ddcb9ed843d6859b092b8a5ef958cb5bc,Konsta Vesterinen,2013-10-21 11:44:59+00:00,"Fixed imports, is_email -> email",False,52,26,26,,,,1107,307,520,175,1.8214285714285714,88.80455068755617,6.285714285714286,9.619047619047619,41.20946684010843,1.2211309523809524,191.2686181647322,10.626034342485122,0.01373648894670281
35,8a9294c49a304b194cd9f8a1a00fa1356025e348,Konsta Vesterinen,2013-10-21 11:59:45+00:00,Updated doc blocks,False,68,36,32,,,,1111,307,520,175,1.8214285714285714,88.990781377812,6.285714285714286,9.619047619047619,41.20946684010843,1.2211309523809524,191.2686181647322,10.626034342485122,0.01373648894670281
36,64344429f5104fedc572ad4b46c16e4d0da4365e,Konsta Vesterinen,2013-10-21 12:19:37+00:00,Added truthy,False,39,39,0,1.0,1.0,1.0,1145,312,527,175,1.8421052631578947,88.74965445684386,6.619047619047619,10.095238095238095,44.34924617802993,1.222077922077922,211.43751388149255,11.74652854897181,0.014783082059343311
37,ca5c2286cf588fa81445b6e9ba673cac5582f450,Konsta Vesterinen,2013-10-21 12:22:34+00:00,Fixed doc blocks,False,6,3,3,,,,1145,312,527,175,1.8421052631578947,88.74965445684386,6.619047619047619,10.095238095238095,44.34924617802993,1.222077922077922,211.43751388149255,11.74652854897181,0.014783082059343311
38,df0009bccd608f7a14fdaaae2bc0dc5585c05b08,Konsta Vesterinen,2013-10-22 07:57:59+00:00,Added CHANGES,False,29,22,7,1.0,1.0,0.0,1146,313,528,175,1.8245614035087718,88.74173663694144,6.619047619047619,10.095238095238095,44.34924617802993,1.222077922077922,211.43751388149255,11.74652854897181,0.014783082059343311
39,37375fe28cef42ce6415b9eb91fc5a595cdbe6cc,Konsta Vesterinen,2013-10-23 06:01:40+00:00,Added total_ordering to Python 2.6 requirements,False,2,2,0,,,,1148,313,530,175,1.8245614035087718,88.61580657655607,6.809523809523809,10.523809523809524,46.27931870584571,1.233982683982684,215.30934532211836,11.961630295673242,0.015426439568615238
40,83df40ddfc9a0816df47932e4599bdfe304cc29a,Konsta Vesterinen,2013-10-23 06:08:10+00:00,Fixed compat issues with py2.6 and 3.3,False,12,7,5,0.0,0.0,0.0,1150,315,532,176,1.8392857142857142,88.85907525111922,6.714285714285714,10.380952380952381,45.53359220675497,1.233982683982684,214.5636188230276,11.920201045723756,0.015177864068918325
41,804f6ebb689be6169136ed4a9e85ffaf054ef765,Konsta Vesterinen,2013-10-23 06:10:30+00:00,Made validation failure tests deterministic,False,7,3,4,,,,1149,315,531,176,1.8392857142857142,88.85533821461951,6.761904761904762,10.380952380952381,45.623648292348655,1.257792207792208,216.42107779711088,12.023393210950605,0.01520788276411622
