ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,9077e04b218f56832b256deecd957a366e5f7cbe,Andrew Svetlov,2016-08-02 13:12:38+00:00,Fisrt code lines,False,73,73,0,1.0,1.0,1.0,71,28,46,10,1.1428571428571428,84.48994861967786,4.0,4.666666666666667,12.130135981928335,0.5,9.808207887040973,0.544900438168943,0.004043378660642779
1,125614753f31c6f663229bf236a55c0c1ea6cae5,Andrew Svetlov,2016-08-02 13:37:28+00:00,Add new props,False,92,90,2,1.0,1.0,1.0,159,79,101,13,1.1304347826086956,72.7914293036839,12.0,16.666666666666668,68.8266154760033,0.8768115942028984,101.71815471660165,5.651008595366757,0.022942205158667763
2,14a88a86ac25697d031b9c73a731b10987d593e7,Andrew Svetlov,2016-08-02 14:02:11+00:00,More props,False,28,26,2,1.0,1.0,1.0,183,97,119,13,1.1481481481481481,69.67873874469377,15.0,20.666666666666668,91.97718952310807,1.0344827586206897,136.92537637074943,7.606965353930524,0.030659063174369353
3,288ed2919b4c98c867c26affc44872ddee0469d0,Andrew Svetlov,2016-08-02 14:04:58+00:00,Add fragment prop,False,14,14,0,1.0,1.0,1.0,197,106,128,13,1.1333333333333333,68.60311015488298,16.333333333333332,22.666666666666668,104.97919788192223,1.0303030303030303,156.62815351421295,8.701564084122941,0.034993065960640744
4,48b2a74f2cabf376edea591c46a838e083390e2e,Andrew Svetlov,2016-08-02 14:09:27+00:00,Add __slots__,False,7,7,0,1.0,1.0,1.0,204,110,132,13,1.1290322580645162,68.01939865333311,16.333333333333332,22.666666666666668,104.97919788192223,1.0303030303030303,156.62815351421295,8.701564084122941,0.034993065960640744
5,1f9797d53b630630111d170478bc0b1997ef406d,Andrew Svetlov,2016-08-02 15:10:24+00:00,Implement .parent,False,36,31,5,1.0,1.0,1.0,230,130,152,13,1.2058823529411764,65.14079094106098,20.0,27.333333333333332,133.35380161186086,1.3589743589743588,212.593607627071,11.810755979281723,0.04445126720395362
6,b402b841d6f2718785760f5fcfa3d99fcdc6b0fa,Andrew Svetlov,2016-08-02 15:14:50+00:00,Implement equality,False,15,15,0,1.0,1.0,1.0,245,140,162,13,1.2162162162162162,63.76679546642769,22.666666666666668,31.0,155.88120349446783,1.7734319943622268,334.9328664281774,18.60738146823208,0.05196040116482261
7,788d2ba0c2435cd2439c84d79f5c1a6f529a7459,Andrew Svetlov,2016-08-02 15:26:22+00:00,Implement hashing,False,12,11,1,1.0,1.0,1.0,255,147,169,13,1.2307692307692308,62.827157554547114,24.0,33.0,168.10477251107827,1.7603988603988607,362.2258351006423,20.123657505591236,0.05603492417035943
8,89a8717ade1f41d3fb77c856c2885b4dc702ee30,Andrew Svetlov,2016-08-03 11:15:37+00:00,Implement comparison,False,62,62,0,1.0,1.0,1.0,317,187,209,13,1.2653061224489797,58.89670361663562,33.333333333333336,45.666666666666664,252.00390298147147,3.4039264828738514,1124.7892983234026,62.48829435130014,0.08400130099382382
9,6d734f859be64bfd2835562eec789f9dd4ac4899,Andrew Svetlov,2016-08-03 11:23:45+00:00,Cleanup fragment and query on getting parent,False,15,14,1,1.0,1.0,1.0,330,195,218,13,1.2941176470588236,58.18638078050652,35.333333333333336,48.666666666666664,273.08046398775014,3.3698028035162744,1212.306659953095,67.35036999739417,0.09102682132925004
10,82d353b1f2fbe0e92c41f9abaec5ba8ab96cb7e5,Andrew Svetlov,2016-08-03 11:55:37+00:00,Add more tests for clearing query,False,10,10,0,1.0,1.0,1.0,340,201,224,13,1.2830188679245282,57.84410631843577,36.666666666666664,50.666666666666664,288.03461633873536,3.3671125975473806,1272.4026274649161,70.689034859162,0.09601153877957845
11,8843fb7eab36fa62ac1de2fa806b9351871da8b5,Andrew Svetlov,2016-08-03 12:00:35+00:00,Add name property,False,24,24,0,1.0,1.0,1.0,364,218,241,13,1.280701754385965,56.60129329801088,39.666666666666664,55.333333333333336,321.27053390535133,3.326020223907548,1411.596496618584,78.42202758992134,0.10709017796845044
12,b50bb3eecacec78aa8d24f4a570d64d5d2c38fc6,Andrew Svetlov,2016-08-03 12:29:55+00:00,Implement path concatenation,False,17,17,0,1.0,1.0,1.0,381,229,253,13,1.2666666666666666,55.81823393299464,43.333333333333336,60.333333333333336,360.6257854859273,3.492165242165242,1708.2755288871738,94.90419604928742,0.12020859516197575
